Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,237.330002,238.990005,236.360001,237.940002,234.512100,1613300
2017-04-21,236.289993,237.889999,235.320007,236.350006,232.945007,1714000
2017-04-24,238.000000,238.639999,236.690002,236.979996,233.565933,2151900
2017-04-25,238.119995,239.199997,236.509995,238.220001,234.788071,2984900
2017-04-26,238.910004,240.479996,238.100006,239.500000,236.049637,1925400
2017-04-27,239.899994,243.250000,239.770004,243.050003,239.548508,2204100
2017-04-28,243.089996,244.149994,240.559998,243.860001,240.346832,1825400
2017-05-01,244.000000,246.860001,243.160004,245.229996,241.697083,2032100
2017-05-02,245.619995,246.000000,243.199997,245.500000,241.963196,1406500
2017-05-03,244.250000,245.220001,243.500000,243.759995,240.248245,1400500
2017-05-04,244.199997,246.220001,243.830002,245.250000,241.716797,1505300
2017-05-05,245.899994,246.429993,243.660004,244.940002,241.411255,1306100
2017-05-08,245.000000,245.029999,240.190002,241.949997,238.464340,2709100
2017-05-09,246.050003,246.740005,237.649994,238.509995,235.073898,3677700
2017-05-10,235.119995,235.490005,228.440002,229.720001,226.410538,5697900
2017-05-11,230.770004,234.119995,230.630005,231.009995,227.681946,3007400
2017-05-12,231.080002,232.289993,229.050003,230.880005,227.553818,2447400
2017-05-15,230.130005,231.179993,227.509995,228.220001,224.932144,3133700
2017-05-16,229.729996,229.729996,223.710007,224.550003,221.995911,4725600
2017-05-17,224.550003,224.550003,220.250000,220.330002,217.823929,4874500
2017-05-18,220.619995,221.559998,218.600006,218.729996,216.242096,3718900
2017-05-19,219.429993,221.550003,219.000000,219.130005,216.637573,2957200
2017-05-22,218.970001,221.300003,218.729996,219.520004,217.023132,1770200
2017-05-23,219.759995,221.649994,219.210007,220.660004,218.150177,1667200
2017-05-24,221.369995,225.350006,221.259995,224.160004,221.610367,2791900
2017-05-25,224.330002,226.070007,224.100006,224.360001,221.808075,1421300
2017-05-26,224.410004,225.139999,222.949997,223.119995,220.582169,1697700
2017-05-30,222.800003,225.089996,222.110001,222.110001,219.583664,2944600
2017-05-31,222.669998,224.710007,221.899994,223.750000,221.205002,4074700
2017-06-01,224.419998,227.389999,223.639999,227.389999,224.803604,2413200
2017-06-02,227.699997,228.929993,227.039993,228.160004,225.564865,1765000
2017-06-05,229.309998,229.660004,227.029999,228.179993,225.584625,1549600
2017-06-06,227.279999,228.570007,227.279999,228.309998,225.713150,1917700
2017-06-07,228.850006,228.919998,227.559998,228.190002,225.594513,1470400
2017-06-08,228.190002,229.889999,228.000000,229.410004,226.800644,1675600
2017-06-09,230.000000,233.470001,229.639999,232.360001,229.717087,2043300
2017-06-12,231.990005,232.360001,230.100006,230.770004,228.145172,1945600
2017-06-13,230.350006,231.419998,229.220001,230.789993,228.164932,1511200
2017-06-14,231.360001,234.000000,230.130005,233.039993,230.389343,2192700
2017-06-15,232.119995,235.479996,232.119995,234.759995,232.089798,2062300
2017-06-16,234.570007,236.059998,234.369995,235.490005,232.811493,2228700
2017-06-19,236.559998,240.110001,235.770004,237.669998,234.966690,2555000
2017-06-20,237.350006,240.139999,237.210007,238.630005,235.915771,1847600
2017-06-21,238.910004,244.690002,238.479996,244.389999,241.610245,2646400
2017-06-22,245.000000,249.440002,243.869995,247.110001,244.299316,2724900
2017-06-23,247.270004,247.929993,245.020004,246.460007,243.656708,5109000
2017-06-26,247.000000,250.250000,246.679993,248.910004,246.078857,1855000
2017-06-27,247.710007,249.910004,246.089996,246.089996,243.290909,1832400
2017-06-28,247.369995,249.210007,246.210007,246.710007,243.903885,1715200
2017-06-29,246.779999,248.199997,242.940002,244.020004,241.244461,1882500
2017-06-30,244.270004,244.960007,242.300003,243.089996,240.325027,1724700
2017-07-03,244.000000,245.500000,243.410004,243.979996,241.204910,698900
2017-07-05,243.369995,245.850006,242.490005,244.289993,241.511383,1875200
2017-07-06,243.009995,244.539993,241.460007,241.550003,238.802567,1560700
2017-07-07,241.929993,242.600006,239.160004,240.690002,237.952347,1656300
2017-07-10,240.740005,242.100006,240.009995,241.169998,238.426865,1099700
2017-07-11,240.559998,243.490005,240.559998,242.119995,239.366074,1603400
2017-07-12,243.259995,247.279999,242.809998,245.589996,242.796600,1459900
2017-07-13,245.330002,245.750000,242.789993,244.130005,241.353210,1478800
2017-07-14,243.600006,246.770004,243.600006,245.850006,243.053650,990700
2017-07-17,246.789993,249.309998,246.240005,247.529999,244.714523,1437600
2017-07-18,247.330002,247.440002,244.630005,245.729996,242.935013,1428700
2017-07-19,245.729996,247.770004,245.119995,246.410004,243.607285,1149700
2017-07-20,247.419998,251.630005,247.089996,249.070007,246.237030,2412900
2017-07-21,248.990005,251.789993,248.880005,250.970001,248.115402,2509900
2017-07-24,250.529999,254.529999,249.399994,253.520004,250.636398,1832900
2017-07-25,254.000000,256.799988,252.639999,254.619995,251.723892,2330600
2017-07-26,254.610001,256.619995,253.669998,256.149994,253.236481,1297100
2017-07-27,255.990005,256.149994,252.500000,254.160004,251.269119,1909600
2017-07-28,254.300003,254.990005,251.710007,253.009995,250.132202,1550100
2017-07-31,254.100006,255.520004,252.139999,252.330002,249.459946,1422700
2017-08-01,252.229996,254.020004,251.759995,252.199997,249.331406,2009800
2017-08-02,252.300003,252.679993,249.199997,250.179993,247.334396,1816800
2017-08-03,248.000000,252.270004,243.009995,250.360001,247.512344,3417800
2017-08-04,249.529999,249.559998,241.740005,242.649994,239.890045,3014800
2017-08-07,242.690002,243.210007,240.949997,241.220001,238.476303,1519600
2017-08-08,241.970001,245.500000,239.470001,239.740005,237.013138,2730600
2017-08-09,239.740005,241.679993,237.710007,237.970001,235.263290,2019300
2017-08-10,237.339996,237.839996,231.839996,232.199997,229.558884,2387600
2017-08-11,231.929993,235.000000,231.279999,232.880005,230.231186,1820900
2017-08-14,233.649994,235.830002,232.490005,232.639999,229.993912,1435000
2017-08-15,232.690002,233.470001,230.940002,231.139999,228.510956,1964600
2017-08-16,231.119995,231.619995,227.070007,227.990005,226.081467,3546800
2017-08-17,227.889999,229.100006,224.110001,224.770004,222.888428,3049100
2017-08-18,224.399994,225.649994,223.080002,223.990005,222.114960,2006200
2017-08-21,223.880005,225.240005,222.410004,222.970001,221.103485,2336200
2017-08-22,223.500000,225.190002,222.050003,223.750000,221.876953,1835400
2017-08-23,223.389999,224.449997,221.850006,222.270004,220.409363,1465000
2017-08-24,222.679993,226.000000,222.300003,223.699997,221.827377,1601400
2017-08-25,223.899994,224.210007,221.809998,221.809998,219.953201,1239000
2017-08-28,221.820007,224.229996,221.809998,223.940002,222.065369,1520000
2017-08-29,223.940002,224.100006,220.220001,223.580002,221.708374,1335300
2017-08-30,223.429993,225.350006,221.850006,223.860001,221.986038,1526500
2017-08-31,225.110001,231.479996,225.009995,229.479996,227.558990,2582900
2017-09-01,229.889999,231.979996,226.570007,227.729996,225.823639,1631500
2017-09-05,227.000000,227.740005,223.610001,223.779999,221.906708,1338300
2017-09-06,224.850006,225.479996,222.399994,223.610001,221.738144,1246800
2017-09-07,223.759995,228.479996,223.240005,227.929993,226.021957,1812500
2017-09-08,227.320007,235.869995,225.220001,233.550003,231.594925,3185900
2017-09-11,236.009995,237.410004,231.839996,232.380005,230.434723,2143000
2017-09-12,233.000000,233.229996,229.649994,231.210007,229.274521,1827300
2017-09-13,231.000000,231.570007,225.600006,226.470001,224.574188,2936200
2017-09-14,226.399994,226.889999,223.330002,223.699997,221.827377,1962900
2017-09-15,224.250000,224.630005,219.860001,220.289993,218.445923,3347900
2017-09-18,221.429993,227.539993,220.929993,221.539993,219.685455,2971100
2017-09-19,222.080002,223.039993,213.389999,215.000000,213.200211,5416100
2017-09-20,211.740005,214.119995,208.899994,210.000000,208.242050,5474500
2017-09-21,208.309998,208.500000,202.600006,202.660004,200.963501,5878900
2017-09-22,202.500000,209.250000,201.419998,204.649994,202.936844,3903800
2017-09-25,210.119995,213.279999,208.050003,211.610001,209.838593,3982400
2017-09-26,212.009995,217.000000,208.550003,209.449997,207.696655,3280700
2017-09-27,210.020004,210.820007,207.500000,208.300003,206.556290,2203600
2017-09-28,208.000000,208.869995,203.699997,204.080002,202.371628,2606200
2017-09-29,204.600006,205.380005,202.449997,204.949997,203.234329,2682700
2017-10-02,205.759995,211.220001,204.869995,210.979996,209.213867,2312400
2017-10-03,212.850006,215.100006,208.479996,209.800003,208.043747,2107000
2017-10-04,208.300003,210.160004,207.809998,208.389999,206.645538,1722500
2017-10-05,208.000000,211.169998,207.550003,209.300003,207.547928,2006000
2017-10-06,209.500000,210.100006,206.289993,206.750000,205.019272,1654100
2017-10-09,205.880005,206.500000,202.559998,202.940002,201.241165,2499700
2017-10-10,203.500000,207.869995,203.399994,207.419998,205.683655,2689700
2017-10-11,207.309998,209.039993,206.520004,206.610001,204.880432,2175300
2017-10-12,207.449997,207.479996,203.550003,204.080002,202.371628,1968800
2017-10-13,205.190002,207.240005,203.460007,205.520004,203.799561,1816000
2017-10-16,205.550003,206.929993,192.100006,198.410004,196.749084,9525600
2017-10-17,199.009995,203.949997,197.300003,197.779999,196.124359,5097500
2017-10-18,196.009995,197.330002,185.750000,187.149994,185.583344,13761400
2017-10-19,185.000000,190.690002,182.800003,189.270004,187.685608,7624500
2017-10-20,190.589996,192.009995,187.059998,188.279999,186.703873,4755600
2017-10-23,188.649994,190.710007,187.589996,187.770004,186.198166,2934500
2017-10-24,187.250000,188.389999,182.779999,182.919998,181.388748,5626600
2017-10-25,182.949997,183.479996,178.350006,180.339996,178.830338,7188800
2017-10-26,179.820007,181.080002,174.660004,176.330002,174.853912,5801500
2017-10-27,176.220001,178.960007,175.210007,178.820007,177.323074,3836900
2017-10-30,178.990005,181.789993,177.509995,178.639999,177.144577,3715900
2017-10-31,179.529999,181.139999,175.779999,177.229996,175.746384,5060000
2017-11-01,176.589996,188.360001,169.639999,184.580002,183.034851,11869300
2017-11-02,182.300003,183.300003,171.500000,175.380005,173.911880,9208700
2017-11-03,175.949997,176.360001,172.899994,174.919998,173.455719,3465500
2017-11-06,175.000000,177.610001,173.979996,174.339996,172.880569,4058000
2017-11-07,175.000000,175.339996,172.690002,172.970001,171.522049,4257800
2017-11-08,173.000000,175.350006,173.000000,175.009995,173.544952,2917100
2017-11-09,174.000000,175.600006,172.330002,173.000000,171.551788,2216300
2017-11-10,172.389999,173.539993,170.789993,172.210007,170.768417,3251700
2017-11-13,171.770004,174.710007,169.610001,174.410004,172.949997,2600300
2017-11-14,174.820007,175.490005,171.059998,171.820007,170.381683,2148700
2017-11-15,171.520004,174.240005,170.550003,173.050003,171.601379,2529900
2017-11-16,173.199997,175.500000,171.529999,174.809998,174.050690,2428600
2017-11-17,174.000000,176.240005,172.850006,174.880005,174.120392,2819300
2017-11-20,174.750000,175.240005,169.699997,171.119995,170.376709,3003600
2017-11-21,171.250000,172.309998,169.869995,170.669998,169.928665,2957200
2017-11-22,171.000000,176.080002,170.149994,174.830002,174.070602,2856400
2017-11-24,175.000000,175.429993,173.110001,173.529999,172.776245,797700
2017-11-27,173.589996,174.539993,171.160004,172.380005,171.631256,2292500
2017-11-28,173.089996,173.649994,168.429993,171.919998,171.173248,2931900
2017-11-29,176.000000,179.850006,175.259995,175.690002,174.926865,3860500
2017-11-30,175.610001,177.679993,172.020004,173.830002,173.074951,3542000
2017-12-01,173.830002,174.990005,169.000000,169.940002,169.201843,3980500
2017-12-04,170.300003,170.970001,166.059998,166.899994,166.175049,3420700
2017-12-05,162.910004,165.479996,160.070007,164.279999,163.566422,7569900
2017-12-06,166.110001,168.669998,163.800003,168.000000,167.270264,3660200
2017-12-07,166.059998,167.000000,162.910004,164.869995,164.153854,2908400
2017-12-08,166.110001,168.779999,164.580002,167.800003,167.071136,2881900
2017-12-11,168.750000,173.779999,167.119995,172.759995,172.009583,2892400
2017-12-12,173.110001,174.000000,171.660004,171.869995,171.123459,1983700
2017-12-13,171.000000,172.589996,168.250000,169.240005,168.504883,2225000
2017-12-14,169.429993,175.199997,168.750000,170.940002,170.197510,3726200
2017-12-15,172.429993,174.589996,170.610001,171.679993,170.934280,4207200
2017-12-18,171.869995,174.089996,170.649994,170.910004,170.167633,2890300
2017-12-19,171.089996,172.600006,169.470001,169.570007,168.833466,2669100
2017-12-20,169.899994,170.320007,165.449997,165.710007,164.990219,3231600
2017-12-21,165.360001,168.419998,165.080002,167.630005,166.901886,3052500
2017-12-22,167.880005,168.160004,163.880005,164.899994,164.183731,2584200
2017-12-26,164.529999,166.399994,164.110001,164.440002,163.725739,1628900
2017-12-27,164.419998,167.190002,164.250000,165.570007,164.850830,2068900
2017-12-28,164.940002,165.500000,163.169998,164.619995,163.904953,2119200
2017-12-29,164.610001,165.899994,163.520004,163.580002,162.869476,2490900
2018-01-02,164.050003,171.119995,163.460007,170.320007,169.580200,3161600
2018-01-03,172.000000,172.470001,168.820007,170.139999,169.400970,2609200
2018-01-04,171.199997,171.979996,168.850006,171.580002,170.834717,1742700
2018-01-05,172.429993,172.820007,171.000000,172.289993,171.541626,1749600
2018-01-08,172.960007,173.259995,168.330002,170.559998,169.819153,2800800
