Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,77.120003,78.050003,76.879997,77.720001,77.071190,417100
2017-04-21,77.690002,78.220001,77.589996,77.910004,77.259605,750500
2017-04-24,78.870003,79.190002,77.739998,78.239998,77.586853,711800
2017-04-25,78.650002,79.089996,78.320000,78.750000,78.092590,400100
2017-04-26,78.849998,79.970001,78.110001,79.720001,79.054497,1521200
2017-04-27,82.000000,82.000000,79.800003,80.620003,79.946983,1601800
2017-04-28,80.059998,80.339996,78.410004,78.639999,77.983505,1349300
2017-05-01,78.699997,78.699997,77.620003,77.699997,77.051346,716500
2017-05-02,77.980003,78.230003,77.300003,77.620003,76.972031,698100
2017-05-03,77.239998,77.620003,76.680000,77.279999,76.634865,828800
2017-05-04,77.589996,77.919998,76.980003,77.349998,76.704285,919700
2017-05-05,77.559998,77.940002,77.000000,77.500000,76.853027,809500
2017-05-08,77.279999,77.570000,76.400002,76.800003,76.158875,573300
2017-05-09,77.110001,77.199997,76.750000,76.980003,76.337372,438000
2017-05-10,76.760002,76.940002,75.849998,76.830002,76.188622,613200
2017-05-11,76.449997,77.309998,75.940002,77.290001,76.644783,900000
2017-05-12,77.160004,77.309998,76.639999,76.730003,76.089462,415800
2017-05-15,76.699997,77.570000,76.699997,77.239998,76.595192,582400
2017-05-16,77.599998,78.699997,77.580002,78.480003,77.824852,1238600
2017-05-17,78.480003,78.480003,76.860001,77.010002,76.367119,1009000
2017-05-18,76.830002,77.760002,76.260002,77.320000,76.674538,656400
2017-05-19,77.830002,79.449997,77.459999,79.059998,78.400002,1065000
2017-05-22,79.199997,79.989998,79.199997,79.459999,78.796661,798800
2017-05-23,79.500000,79.709999,78.760002,78.900002,78.241348,823800
2017-05-24,79.000000,79.239998,78.650002,79.050003,78.390091,702000
2017-05-25,79.290001,79.690002,79.050003,79.459999,78.796661,645500
2017-05-26,79.360001,79.680000,79.110001,79.379997,78.717331,655700
2017-05-30,79.349998,79.349998,78.250000,78.459999,77.805016,855300
2017-05-31,78.620003,79.169998,77.760002,78.629997,77.973595,3922200
2017-06-01,79.019997,79.550003,78.800003,79.139999,78.479332,907200
2017-06-02,79.050003,80.169998,78.870003,80.059998,79.391655,703700
2017-06-05,80.000000,80.370003,79.639999,80.000000,79.332153,498600
2017-06-06,79.760002,80.400002,78.470001,78.540001,77.884346,510900
2017-06-07,78.610001,79.040001,78.120003,78.330002,77.676102,511500
2017-06-08,78.330002,78.570000,77.370003,77.650002,77.001778,723100
2017-06-09,77.830002,78.220001,76.900002,77.230003,76.585297,756900
2017-06-12,77.360001,78.489998,76.470001,78.449997,77.795090,1033300
2017-06-13,78.190002,79.400002,77.809998,79.279999,78.778839,611400
2017-06-14,79.690002,80.120003,79.430000,79.750000,79.245865,563100
2017-06-15,79.320000,80.830002,79.040001,80.750000,80.239540,600700
2017-06-16,81.019997,81.930000,80.760002,81.580002,81.064301,822400
2017-06-19,82.040001,82.379997,81.660004,82.169998,81.650566,403100
2017-06-20,81.680000,82.769997,81.500000,81.910004,81.392212,520500
2017-06-21,82.099998,82.099998,81.339996,81.510002,80.994736,437800
2017-06-22,81.489998,81.900002,81.169998,81.190002,80.676758,298800
2017-06-23,81.209999,82.180000,80.989998,81.449997,80.935120,590600
2017-06-26,81.669998,81.959999,81.269997,81.410004,80.895378,236800
2017-06-27,81.250000,81.620003,80.489998,80.589996,80.080551,456000
2017-06-28,81.120003,81.830002,80.879997,81.239998,80.726448,264600
2017-06-29,81.260002,81.260002,78.910004,79.820000,79.315414,542700
2017-06-30,80.089996,81.500000,80.089996,81.120003,80.607208,457200
2017-07-03,81.570000,81.830002,81.349998,81.370003,80.855629,217200
2017-07-05,81.550003,82.900002,81.360001,82.139999,81.620758,416600
2017-07-06,81.919998,81.919998,80.500000,80.660004,80.150116,424000
2017-07-07,80.849998,81.639999,80.220001,81.220001,80.706581,414000
2017-07-10,81.349998,81.849998,81.089996,81.529999,81.014610,472600
2017-07-11,81.379997,81.839996,81.029999,81.470001,80.954994,354500
2017-07-12,82.040001,82.529999,81.589996,81.989998,81.471703,374700
2017-07-13,81.980003,82.690002,80.610001,80.790001,80.279289,541500
2017-07-14,80.809998,81.290001,80.449997,80.769997,80.259415,438700
2017-07-17,80.779999,80.849998,80.459999,80.830002,80.319046,295800
2017-07-18,80.599998,80.889999,80.150002,80.599998,80.090485,374300
2017-07-19,80.709999,81.000000,80.500000,80.699997,80.189857,303000
2017-07-20,80.870003,81.139999,80.120003,81.089996,80.577393,528900
2017-07-21,80.809998,81.279999,80.120003,80.410004,79.901695,401400
2017-07-24,80.339996,80.690002,79.690002,80.309998,79.802330,286000
2017-07-25,80.820000,81.070000,78.750000,79.099998,78.599976,681700
2017-07-26,79.029999,79.400002,78.480003,78.489998,77.993835,853400
2017-07-27,78.989998,81.260002,77.620003,81.199997,80.686699,1371800
2017-07-28,81.309998,82.000000,80.230003,81.400002,80.885437,736100
2017-07-31,81.559998,81.889999,80.739998,81.239998,80.726448,615800
2017-08-01,81.629997,82.620003,80.940002,81.470001,80.954994,878500
2017-08-02,81.180000,81.379997,79.860001,80.849998,80.338905,521700
2017-08-03,80.989998,81.110001,80.139999,80.760002,80.249481,372200
2017-08-04,80.860001,81.320000,80.459999,81.320000,80.805939,343900
2017-08-07,81.330002,82.059998,80.820000,81.989998,81.471703,321400
2017-08-08,81.910004,82.250000,81.309998,81.370003,80.855629,468600
2017-08-09,81.309998,81.519997,80.459999,80.589996,80.080551,354000
2017-08-10,80.190002,80.480003,78.860001,78.919998,78.421112,459900
2017-08-11,78.930000,79.769997,78.629997,79.279999,78.778839,354100
2017-08-14,79.839996,80.029999,79.080002,79.470001,78.967636,420400
2017-08-15,79.500000,79.500000,78.739998,78.949997,78.450920,271400
2017-08-16,79.040001,79.629997,78.889999,79.290001,78.788773,404100
2017-08-17,79.180000,79.959999,78.760002,78.830002,78.331688,500500
2017-08-18,78.580002,78.870003,78.059998,78.169998,77.675850,327900
2017-08-21,78.199997,78.320000,77.419998,77.480003,76.990227,384900
2017-08-22,77.680000,78.320000,77.279999,78.080002,77.586426,507600
2017-08-23,77.809998,77.849998,76.790001,77.089996,76.602669,611600
2017-08-24,77.239998,77.540001,76.820000,77.150002,76.662300,360200
2017-08-25,77.580002,77.809998,77.430000,77.620003,77.129333,376800
2017-08-28,77.970001,78.250000,77.820000,78.050003,77.556618,425100
2017-08-29,77.720001,78.339996,77.699997,77.769997,77.278381,271900
2017-08-30,77.739998,78.339996,77.449997,78.300003,77.805038,292300
2017-08-31,78.709999,79.000000,78.449997,78.709999,78.212440,487600
2017-09-01,79.029999,79.400002,78.849998,79.150002,78.649666,517800
2017-09-05,79.160004,80.000000,79.160004,79.400002,78.898087,639400
2017-09-06,79.860001,80.529999,79.580002,80.260002,79.752647,604900
2017-09-07,80.379997,80.629997,79.699997,80.220001,79.712898,395900
2017-09-08,80.209999,81.400002,79.900002,80.809998,80.299164,512300
2017-09-11,81.230003,81.639999,80.480003,81.070000,80.557526,759300
2017-09-12,81.330002,81.620003,80.949997,81.000000,80.487961,660500
2017-09-13,81.089996,81.870003,80.430000,81.809998,81.292847,589500
2017-09-14,81.660004,82.650002,81.419998,82.620003,82.097725,784200
2017-09-15,82.629997,82.970001,82.120003,82.769997,82.406357,978400
2017-09-18,82.980003,83.120003,82.190002,82.650002,82.286888,508100
2017-09-19,82.760002,83.139999,82.059998,82.849998,82.486008,677100
2017-09-20,83.010002,84.040001,82.570000,83.570000,83.202843,1023200
2017-09-21,83.250000,83.820000,83.250000,83.470001,83.103279,465000
2017-09-22,83.620003,84.639999,83.339996,84.550003,84.178543,890500
2017-09-25,84.410004,84.800003,84.290001,84.500000,84.128761,437300
2017-09-26,84.750000,85.620003,84.500000,85.349998,84.975021,518900
2017-09-27,85.610001,86.449997,85.290001,85.330002,84.955116,751400
2017-09-28,85.290001,85.820000,84.820000,85.760002,85.383224,585300
2017-09-29,85.680000,86.889999,85.680000,86.470001,86.090103,493100
2017-10-02,86.559998,86.949997,86.279999,86.529999,86.149841,518600
2017-10-03,86.660004,87.690002,86.480003,87.470001,87.085716,529300
2017-10-04,87.419998,87.760002,86.550003,86.730003,86.348961,828500
2017-10-05,86.830002,87.250000,86.029999,87.070000,86.687462,694000
2017-10-06,87.040001,87.330002,86.599998,87.190002,86.806946,716800
2017-10-09,87.370003,87.690002,86.650002,87.620003,87.235054,297900
2017-10-10,87.820000,87.980003,87.190002,87.809998,87.424217,415900
2017-10-11,88.110001,88.320000,87.599998,88.150002,87.762726,743800
2017-10-12,87.879997,89.750000,87.620003,89.559998,89.166527,913500
2017-10-13,89.809998,89.809998,88.190002,88.300003,87.912064,380500
2017-10-16,88.519997,88.949997,88.010002,88.139999,87.752762,349700
2017-10-17,88.110001,88.349998,86.820000,87.000000,86.617775,768100
2017-10-18,87.250000,87.930000,87.250000,87.599998,87.215141,569100
2017-10-19,87.459999,87.820000,87.230003,87.739998,87.354523,422800
2017-10-20,87.500000,88.290001,87.410004,88.019997,87.633293,546200
2017-10-23,87.989998,88.160004,87.220001,87.309998,86.926414,379500
2017-10-24,87.599998,88.750000,87.559998,88.480003,88.091278,619200
2017-10-25,88.180000,88.459999,85.550003,86.489998,86.110016,894300
2017-10-26,80.720001,82.239998,79.260002,80.699997,80.345451,3297200
2017-10-27,80.129997,81.040001,78.629997,80.290001,79.937256,1919700
2017-10-30,81.019997,82.849998,80.720001,81.970001,81.609879,1281300
2017-10-31,82.699997,83.550003,82.230003,83.389999,83.023636,1406900
2017-11-01,83.580002,84.110001,82.290001,82.730003,82.366539,700600
2017-11-02,82.879997,82.989998,81.699997,82.230003,81.868736,852600
2017-11-03,82.580002,82.589996,81.599998,82.019997,81.659653,896100
2017-11-06,82.019997,83.470001,81.820000,83.089996,82.724953,718300
2017-11-07,83.269997,84.629997,82.669998,83.529999,83.163017,851300
2017-11-08,83.440002,83.510002,81.959999,83.430000,83.063461,388700
2017-11-09,83.059998,83.349998,81.459999,82.080002,81.719391,429500
2017-11-10,81.570000,83.269997,81.220001,83.129997,82.764771,565200
2017-11-13,82.930000,84.290001,82.720001,83.940002,83.571220,847000
2017-11-14,83.639999,84.000000,82.720001,82.900002,82.535789,842400
2017-11-15,82.620003,82.660004,81.650002,82.029999,81.669609,473100
2017-11-16,82.250000,83.059998,81.949997,82.410004,82.047943,334700
2017-11-17,82.519997,82.889999,82.019997,82.650002,82.286888,517700
2017-11-20,82.599998,83.660004,82.599998,83.239998,82.874290,338100
2017-11-21,83.599998,83.800003,82.870003,83.400002,83.033592,456300
2017-11-22,83.320000,83.800003,82.769997,83.160004,82.794655,402800
2017-11-24,83.160004,83.570000,82.889999,82.919998,82.555695,196500
2017-11-27,83.110001,84.160004,82.589996,83.099998,82.734909,720600
2017-11-28,83.209999,84.019997,82.820000,83.330002,82.963898,651800
2017-11-29,83.540001,83.779999,82.470001,82.940002,82.575615,745900
2017-11-30,83.010002,84.230003,82.550003,84.139999,83.770340,970400
2017-12-01,84.230003,84.830002,82.480003,84.580002,84.208412,862700
2017-12-04,85.389999,85.760002,83.379997,83.430000,83.063461,766300
2017-12-05,83.290001,83.709999,82.000000,82.000000,81.639740,542200
2017-12-06,82.000000,82.389999,81.389999,81.790001,81.430672,533200
2017-12-07,82.070000,83.160004,82.010002,83.110001,82.744873,643500
2017-12-08,83.779999,83.779999,82.300003,82.459999,82.097717,562200
2017-12-11,82.150002,82.419998,81.440002,82.169998,81.808990,732300
2017-12-12,82.199997,82.410004,81.680000,82.150002,81.789078,427000
2017-12-13,82.519997,83.209999,81.849998,82.639999,82.276932,732400
2017-12-14,82.680000,83.150002,81.589996,81.680000,81.321152,586000
2017-12-15,82.150002,82.750000,81.790001,82.279999,82.079292,1256800
2017-12-18,82.879997,83.440002,82.430000,82.559998,82.358604,856000
2017-12-19,82.470001,82.470001,80.040001,80.070000,79.874680,1188200
2017-12-20,80.389999,81.459999,80.040001,81.000000,80.802414,981300
2017-12-21,81.470001,81.750000,80.910004,81.000000,80.802414,613800
2017-12-22,81.099998,82.059998,80.250000,80.339996,80.144020,347900
2017-12-26,80.290001,80.769997,80.010002,80.389999,80.193901,251400
2017-12-27,80.660004,80.769997,79.989998,80.000000,79.804855,479300
2017-12-28,80.250000,80.709999,78.669998,79.559998,79.365929,1124100
2017-12-29,80.000000,80.290001,78.820000,79.559998,79.365929,662900
