Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,170.330002,171.179993,169.949997,170.149994,161.633698,1933600
2017-04-21,171.520004,171.880005,170.639999,170.770004,162.222687,2257900
2017-04-24,172.000000,172.610001,171.330002,172.330002,163.704590,1906900
2017-04-25,172.910004,173.039993,172.289993,172.679993,164.037094,1503000
2017-04-26,178.050003,178.270004,175.419998,176.800003,167.950882,4591300
2017-04-27,177.320007,177.789993,176.419998,177.449997,168.568329,2148700
2017-04-28,178.070007,178.070007,176.929993,177.520004,168.634842,2358100
2017-05-01,178.500000,178.500000,177.330002,177.860001,168.957825,3328000
2017-05-02,178.720001,178.940002,177.940002,178.589996,169.651276,2505300
2017-05-03,178.740005,180.460007,178.699997,179.820007,170.819733,2900500
2017-05-04,180.050003,183.179993,180.000000,182.449997,173.318085,3762200
2017-05-05,182.770004,182.919998,179.759995,180.199997,171.180679,3713600
2017-05-08,174.660004,174.699997,171.600006,172.639999,170.627228,3538000
2017-05-09,173.610001,173.919998,172.309998,172.679993,170.666763,2662100
2017-05-10,172.029999,172.089996,170.660004,171.350006,169.844055,2554500
2017-05-11,170.779999,171.550003,170.100006,171.259995,169.754837,2106000
2017-05-12,171.289993,171.850006,170.320007,170.880005,169.378189,1586800
2017-05-15,170.300003,171.979996,170.300003,171.570007,170.062134,1733600
2017-05-16,171.960007,171.960007,170.630005,171.000000,169.497131,1129200
2017-05-17,170.660004,171.500000,169.059998,169.149994,167.663376,2201400
2017-05-18,170.080002,171.020004,169.690002,170.720001,169.219604,1589700
2017-05-19,171.350006,172.429993,170.809998,171.639999,170.131500,1871800
2017-05-22,172.240005,173.240005,171.630005,172.399994,170.884827,1594100
2017-05-23,172.970001,173.539993,172.320007,172.470001,170.954224,1788000
2017-05-24,172.949997,173.130005,171.800003,173.009995,171.489456,1420800
2017-05-25,173.470001,175.050003,173.300003,174.729996,173.194351,2726900
2017-05-26,180.250000,180.339996,177.520004,177.860001,176.296844,4471300
2017-05-30,177.679993,179.389999,177.500000,178.919998,177.347519,2086300
2017-05-31,179.240005,180.470001,178.779999,180.429993,178.844238,2456200
2017-06-01,180.809998,181.100006,179.860001,180.630005,179.042496,2028300
2017-06-02,180.580002,181.250000,179.869995,180.970001,179.379517,2239900
2017-06-05,181.100006,182.210007,180.600006,182.080002,180.479752,1561100
2017-06-06,181.699997,182.720001,181.009995,181.449997,179.855286,2248900
2017-06-07,181.440002,182.240005,181.139999,182.199997,180.598694,1246200
2017-06-08,181.919998,182.500000,180.839996,181.410004,179.815659,1814800
2017-06-09,181.710007,181.929993,179.919998,180.380005,178.794708,2167600
2017-06-12,179.580002,180.869995,178.789993,179.639999,178.061188,2395200
2017-06-13,179.899994,180.789993,179.029999,180.509995,178.923553,1745400
2017-06-14,180.830002,181.960007,180.229996,181.669998,180.073334,1440400
2017-06-15,180.389999,181.330002,178.369995,180.059998,178.477509,1753800
2017-06-16,170.399994,170.600006,165.000000,167.110001,165.641327,24233000
2017-06-19,167.050003,167.380005,162.389999,164.339996,162.895660,13809100
2017-06-20,165.500000,165.500000,162.429993,162.899994,161.468307,7337600
2017-06-21,163.490005,163.770004,162.750000,163.149994,161.716125,3421700
2017-06-22,163.169998,163.300003,159.009995,159.789993,158.385635,8043100
2017-06-23,159.399994,159.800003,156.559998,157.130005,155.749023,9506700
2017-06-26,158.149994,160.990005,158.100006,160.199997,158.792053,6473900
2017-06-27,160.660004,161.550003,159.199997,159.259995,157.860306,5533800
2017-06-28,159.589996,160.500000,159.500000,160.169998,158.762314,3234400
2017-06-29,160.210007,160.470001,157.800003,158.679993,157.285400,3664200
2017-06-30,159.600006,160.539993,158.789993,159.929993,158.524414,4755100
2017-07-03,160.210007,160.529999,158.690002,158.820007,157.424179,1994300
2017-07-05,158.929993,159.500000,157.860001,158.020004,156.631210,3770400
2017-07-06,161.110001,161.350006,157.050003,157.089996,155.709366,6963400
2017-07-07,157.360001,157.550003,154.089996,154.110001,152.755569,7688400
2017-07-10,153.509995,153.600006,150.960007,151.000000,149.672897,8999800
2017-07-11,151.449997,153.089996,150.929993,151.110001,149.781937,6275600
2017-07-12,151.460007,152.899994,151.419998,151.750000,150.416306,5112200
2017-07-13,153.229996,153.929993,152.619995,153.600006,152.250061,5673500
2017-07-14,154.259995,154.270004,152.899994,153.000000,151.655334,4368400
2017-07-17,153.000000,153.440002,152.520004,152.839996,151.496735,3096500
2017-07-18,152.610001,152.839996,150.940002,151.500000,150.168518,3256900
2017-07-19,151.809998,152.160004,150.899994,151.240005,149.910797,4100000
2017-07-20,151.470001,152.190002,150.880005,150.990005,149.663010,3207400
2017-07-21,150.940002,151.229996,150.000000,150.440002,149.117813,4078000
2017-07-24,150.449997,151.470001,150.110001,151.000000,149.672897,3655600
2017-07-25,151.410004,153.699997,151.399994,153.169998,151.823837,4605700
2017-07-26,153.410004,153.500000,151.550003,152.089996,150.753326,3017200
2017-07-27,152.009995,152.990005,151.440002,152.520004,151.179550,3637900
2017-07-28,152.669998,153.300003,152.110001,152.889999,151.546295,2779500
2017-07-31,153.080002,158.660004,153.029999,158.509995,157.116898,6937100
2017-08-01,159.100006,159.970001,157.910004,159.720001,158.316269,4787500
2017-08-02,159.130005,161.550003,158.440002,161.279999,159.862549,5486300
2017-08-03,161.610001,162.350006,157.059998,157.910004,156.522186,5562600
2017-08-04,158.339996,158.440002,155.830002,156.440002,155.065094,3117900
2017-08-07,156.500000,157.580002,155.339996,156.949997,155.570618,2629500
2017-08-08,157.100006,159.440002,157.029999,157.750000,156.363586,2569200
2017-08-09,157.139999,157.570007,156.199997,156.860001,155.481400,2157600
2017-08-10,156.169998,157.570007,155.369995,156.639999,155.263321,2764600
2017-08-11,156.509995,157.800003,156.410004,156.649994,155.273239,1887000
2017-08-14,157.589996,158.199997,156.539993,157.910004,156.522186,2028400
2017-08-15,158.000000,158.380005,156.789993,156.880005,155.501236,1869100
2017-08-16,157.279999,159.880005,157.110001,159.759995,158.862213,3381800
2017-08-17,158.479996,159.949997,157.639999,158.570007,157.678925,2650000
2017-08-18,157.979996,158.690002,156.919998,157.080002,156.197296,2747900
2017-08-21,157.190002,158.169998,155.960007,157.070007,156.187347,1857400
2017-08-22,157.529999,159.449997,157.529999,158.699997,157.808182,2204600
2017-08-23,158.619995,159.440002,157.779999,159.369995,158.474411,1731400
2017-08-24,160.000000,160.660004,151.089996,151.330002,150.479599,10301700
2017-08-25,152.369995,152.940002,150.059998,152.449997,151.593307,5703500
2017-08-28,151.899994,153.279999,151.199997,152.550003,151.692749,3776400
2017-08-29,152.380005,153.990005,151.460007,153.559998,152.697067,2446200
2017-08-30,153.710007,154.740005,152.880005,154.440002,153.572128,2493500
2017-08-31,156.220001,157.259995,153.949997,156.740005,155.859207,4567700
2017-09-01,157.589996,158.550003,157.199997,158.240005,157.350769,2833500
2017-09-05,157.960007,159.720001,157.470001,159.139999,158.245712,3413000
2017-09-06,159.190002,159.940002,158.089996,158.860001,157.967285,2873700
2017-09-07,158.970001,159.600006,157.570007,159.279999,158.384918,2479300
2017-09-08,158.369995,158.500000,155.029999,157.309998,156.425995,3364600
2017-09-11,157.889999,158.000000,157.059998,157.360001,156.475723,2442500
2017-09-12,157.669998,160.649994,157.449997,160.039993,159.140640,2988400
2017-09-13,160.139999,163.949997,160.009995,162.990005,162.074081,4202000
2017-09-14,162.679993,162.679993,161.639999,162.369995,161.457550,2493300
2017-09-15,162.240005,162.669998,161.699997,162.300003,161.387955,3757800
2017-09-18,162.179993,163.460007,160.759995,160.910004,160.005768,2047100
2017-09-19,160.960007,161.660004,159.949997,161.559998,160.652100,1790800
2017-09-20,161.509995,163.039993,161.259995,162.850006,161.934860,2432300
2017-09-21,162.929993,162.929993,160.399994,161.479996,160.572556,1738800
2017-09-22,160.899994,162.000000,160.369995,161.289993,160.383621,1535900
2017-09-25,160.830002,162.699997,160.520004,162.330002,161.417786,1799600
2017-09-26,162.710007,164.729996,162.589996,164.070007,163.148026,2370400
2017-09-27,164.490005,165.320007,163.380005,164.419998,163.496048,2053100
2017-09-28,164.470001,164.949997,163.539993,163.899994,162.978958,1730200
2017-09-29,163.899994,165.070007,163.759995,164.289993,163.366760,1852300
2017-10-02,164.919998,166.419998,164.289993,165.889999,164.957779,2267100
2017-10-03,166.320007,167.289993,165.029999,165.080002,164.152344,2839400
2017-10-04,165.229996,165.929993,164.690002,165.210007,164.281616,1918600
2017-10-05,165.860001,167.119995,165.250000,167.070007,166.131165,4715400
2017-10-06,159.000000,159.460007,156.539993,157.089996,156.207230,18001200
2017-10-09,157.009995,157.750000,154.110001,154.610001,153.741165,7028800
2017-10-10,155.669998,157.360001,155.080002,156.869995,155.988464,5420200
2017-10-11,157.300003,158.960007,157.059998,157.869995,156.982849,3859300
2017-10-12,157.869995,157.990005,156.360001,157.220001,156.336502,3596300
2017-10-13,157.419998,160.080002,157.089996,159.850006,158.951736,3634500
2017-10-16,159.380005,159.800003,158.320007,158.809998,157.917572,2453700
2017-10-17,159.000000,159.270004,157.570007,158.380005,157.489990,2426800
2017-10-18,158.839996,158.839996,157.309998,157.550003,156.664658,3011300
2017-10-19,157.139999,158.759995,157.000000,158.460007,157.569534,2981700
2017-10-20,158.970001,161.009995,158.509995,160.770004,159.866562,3993200
2017-10-23,160.850006,162.389999,160.580002,162.039993,161.129410,2811200
2017-10-24,161.160004,162.889999,161.000000,162.289993,161.378006,3040700
2017-10-25,161.000000,163.000000,160.580002,162.179993,161.268616,3603900
