Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,45.410000,46.169998,45.250000,45.930000,44.908470,7679200
2017-04-21,45.849998,46.040001,45.299999,45.529999,44.517368,6396000
2017-04-24,46.500000,46.930000,46.070000,46.810001,45.768902,12522600
2017-04-25,47.139999,47.549999,46.700001,46.730000,45.690674,7873900
2017-04-26,46.730000,47.060001,46.340000,46.369999,45.338684,7610700
2017-04-27,45.680000,45.860001,44.860001,45.740002,44.722694,12388000
2017-04-28,45.900002,46.040001,45.290001,45.439999,44.429367,6515700
2017-05-01,45.590000,46.000000,45.400002,45.400002,44.390259,6378900
2017-05-02,45.669998,47.930000,45.509998,47.830002,46.766216,12931000
2017-05-03,47.660000,48.490002,47.540001,48.310001,47.235538,9912400
2017-05-04,48.459999,48.799999,48.200001,48.639999,47.558193,7467400
2017-05-05,48.630001,49.029999,48.250000,48.700001,47.616863,5275200
2017-05-08,48.730000,49.090000,48.400002,48.520000,47.440868,8671600
2017-05-09,49.000000,49.939999,48.880001,49.560001,48.457737,8759600
2017-05-10,49.349998,49.990002,49.200001,49.970001,48.858616,7548700
2017-05-11,50.009998,50.180000,48.910000,49.689999,48.584839,8817400
2017-05-12,49.490002,49.570000,48.900002,48.990002,47.900414,7180500
2017-05-15,49.119999,49.709999,49.000000,49.509998,48.408844,5539300
2017-05-16,49.619999,49.639999,48.779999,49.509998,48.408844,6422800
2017-05-17,49.310001,49.310001,47.669998,47.740002,46.869915,8274500
2017-05-18,47.639999,48.290001,47.549999,47.660000,46.791374,5071000
2017-05-19,47.849998,48.639999,47.810001,48.200001,47.321529,6137000
2017-05-22,48.369999,48.720001,48.340000,48.490002,47.606247,6548300
2017-05-23,48.560001,48.830002,48.310001,48.590000,47.704422,5592300
2017-05-24,48.669998,48.970001,48.480000,48.869999,47.979317,5139600
2017-05-25,48.990002,50.430000,48.959999,50.400002,49.481438,7421000
2017-05-26,50.310001,50.950001,50.310001,50.799999,49.874146,5778500
2017-05-30,50.590000,50.590000,49.040001,49.060001,48.165859,10523500
2017-05-31,49.189999,49.349998,48.520000,49.130001,48.234581,8088900
2017-06-01,49.320000,50.070000,49.299999,49.849998,48.941460,7431600
2017-06-02,50.549999,51.880001,50.500000,51.189999,50.257038,11872100
2017-06-05,50.990002,51.490002,50.570000,51.389999,50.453392,9018000
2017-06-06,51.150002,51.689999,51.049999,51.230000,50.296303,6826300
2017-06-07,51.009998,52.500000,50.650002,52.270000,51.317356,10888400
2017-06-08,52.270000,53.450001,52.200001,52.840000,51.876965,8937200
2017-06-09,52.900002,53.570000,52.660000,53.009998,52.043865,9709000
2017-06-12,52.950001,52.970001,51.369999,52.250000,51.297718,9751100
2017-06-13,52.259998,52.840000,51.459999,51.869999,50.924644,8280600
2017-06-14,52.009998,52.200001,51.540001,51.910000,50.963909,6019000
2017-06-15,51.630001,51.840000,50.919998,51.560001,50.620293,6871200
2017-06-16,51.549999,52.000000,51.250000,52.000000,51.052273,6254500
2017-06-19,52.099998,52.630001,51.939999,52.509998,51.552975,7674700
2017-06-20,52.680000,52.799999,51.660000,51.759998,50.816647,7050100
2017-06-21,52.049999,52.580002,51.750000,52.270000,51.317356,5135100
2017-06-22,52.990002,53.200001,52.169998,52.810001,51.847515,7240900
2017-06-23,52.799999,53.169998,52.619999,52.919998,51.955502,15792900
2017-06-26,53.020000,53.790001,52.700001,52.869999,51.906418,6127500
2017-06-27,52.860001,53.209999,52.599998,52.840000,51.876965,5921800
2017-06-28,53.250000,54.200001,53.250000,53.840000,52.858738,6745200
2017-06-29,54.110001,54.529999,53.680000,53.869999,52.888187,7188300
2017-06-30,54.000000,54.279999,53.730000,53.740002,52.760563,5012800
2017-07-03,54.259998,54.709999,53.740002,54.060001,53.074730,3532100
2017-07-05,54.150002,54.610001,53.740002,54.330002,53.339809,5793000
2017-07-06,54.180000,54.840000,53.889999,54.369999,53.379078,6221400
2017-07-07,54.549999,55.500000,54.279999,55.459999,54.449211,7493300
2017-07-10,55.040001,55.750000,54.639999,54.810001,53.811058,7971800
2017-07-11,54.820000,55.040001,54.180000,54.279999,53.290722,5442100
2017-07-12,54.799999,55.590000,54.750000,55.480000,54.468845,12101600
2017-07-13,54.549999,55.029999,53.820000,54.500000,53.506710,13257400
2017-07-14,54.500000,55.389999,54.400002,55.130001,54.125229,9228700
2017-07-17,55.200001,55.290001,54.610001,54.639999,53.644157,5387400
2017-07-18,54.500000,54.500000,53.880001,53.959999,52.976551,6421200
2017-07-19,53.770000,54.340000,53.099998,53.790001,52.809650,10733000
2017-07-20,53.790001,53.910000,52.759998,52.830002,51.867149,8418300
2017-07-21,52.549999,52.700001,52.070000,52.259998,51.307537,6847600
2017-07-24,52.160000,52.410000,51.419998,51.529999,50.590839,8208700
2017-07-25,51.919998,52.209999,51.080002,51.139999,50.207947,5815200
2017-07-26,51.150002,51.270000,50.630001,51.130001,50.198132,8065100
2017-07-27,50.400002,50.980000,49.529999,50.080002,49.167267,12402000
2017-07-28,49.990002,50.380001,49.400002,50.330002,49.412712,8652600
2017-07-31,50.470001,50.700001,49.259998,49.360001,48.460388,9575700
2017-08-01,49.779999,50.200001,49.259998,50.070000,49.157448,7849800
2017-08-02,50.009998,50.299999,49.480000,50.009998,49.098541,5215100
2017-08-03,50.119999,50.740002,49.930000,50.570000,49.648335,5250300
2017-08-04,50.740002,50.799999,50.340000,50.610001,49.687607,4426500
2017-08-07,51.200001,51.549999,50.689999,50.750000,49.825054,6241700
2017-08-08,50.750000,51.040001,50.230000,50.310001,49.393078,5847200
2017-08-09,50.000000,50.099998,49.500000,49.669998,48.764740,6692200
2017-08-10,49.570000,49.650002,48.980000,49.040001,48.146221,8925200
2017-08-11,48.950001,49.580002,48.459999,49.480000,48.578201,6318900
2017-08-14,49.990002,50.240002,49.660000,50.070000,49.157448,4631800
2017-08-15,50.250000,50.330002,49.860001,49.919998,49.010181,4067600
2017-08-16,50.240002,50.500000,50.070000,50.130001,49.216358,3696000
2017-08-17,50.020000,50.150002,47.500000,47.529999,46.663738,12043200
2017-08-18,47.720001,48.119999,47.299999,47.529999,46.663738,8395100
2017-08-21,47.490002,47.900002,47.349998,47.810001,47.241791,4650400
2017-08-22,47.919998,48.070000,47.090000,47.150002,46.589630,6762800
2017-08-23,46.959999,47.000000,45.790001,46.180000,45.631161,10997800
2017-08-24,46.480000,46.500000,45.000000,45.209999,44.672688,13780200
2017-08-25,45.430000,47.060001,45.349998,46.680000,46.125217,13938800
2017-08-28,46.830002,47.209999,46.650002,46.950001,46.392010,7816400
2017-08-29,46.139999,46.799999,45.860001,46.619999,46.065929,5648800
2017-08-30,46.459999,47.000000,46.099998,46.830002,46.273438,5960200
2017-08-31,47.000000,47.340000,46.840000,47.189999,46.629158,5937200
2017-09-01,47.419998,47.849998,47.290001,47.520000,46.955235,6099600
2017-09-05,46.770000,47.270000,45.740002,45.840000,45.295200,11344700
2017-09-06,45.220001,47.450001,44.590000,47.389999,46.826778,18675300
2017-09-07,47.299999,47.799999,46.970001,47.119999,46.559986,7329100
2017-09-08,46.980000,47.770000,46.889999,47.450001,46.886066,6110700
2017-09-11,47.950001,49.209999,47.939999,48.820000,48.239784,12512600
2017-09-12,48.939999,49.160000,48.540001,49.040001,48.457169,5813300
2017-09-13,48.959999,49.130001,48.639999,48.980000,48.397881,6255100
2017-09-14,48.900002,48.919998,48.139999,48.270000,47.696320,6283900
2017-09-15,48.049999,48.450001,47.849998,48.250000,47.676559,17746200
2017-09-18,48.330002,48.450001,47.770000,47.959999,47.390007,6011400
2017-09-19,48.009998,48.980000,47.750000,47.900002,47.330719,6782300
2017-09-20,48.000000,48.599998,47.779999,48.040001,47.469055,5535000
2017-09-21,48.000000,48.349998,47.419998,48.160000,47.587627,6235600
2017-09-22,48.259998,48.660000,48.099998,48.470001,47.893944,4601600
2017-09-25,48.419998,48.660000,47.820000,48.320000,47.745728,6603400
2017-09-26,48.459999,49.049999,48.270000,48.500000,47.923584,5232000
2017-09-27,48.900002,49.279999,47.119999,47.720001,47.152859,11658300
2017-09-28,47.459999,48.720001,47.459999,48.310001,47.735844,8309100
2017-09-29,48.400002,48.650002,48.000000,48.220001,47.646915,5533100
2017-10-02,48.349998,48.520000,47.900002,48.070000,47.498695,8604800
2017-10-03,48.150002,51.369999,48.150002,51.250000,50.640903,16065400
2017-10-04,51.220001,52.070000,50.980000,51.560001,50.947224,8265100
2017-10-05,51.509998,51.770000,51.259998,51.680000,51.065792,5276300
2017-10-06,51.400002,52.520000,51.400002,52.009998,51.391869,6735400
2017-10-09,52.070000,52.430000,51.439999,51.740002,51.125084,4624800
2017-10-10,52.730000,53.709999,52.470001,52.700001,52.073673,11332100
2017-10-11,53.380001,53.970001,52.500000,53.070000,52.439274,11817800
2017-10-12,53.099998,53.189999,52.540001,53.110001,52.478798,5819300
2017-10-13,53.110001,54.040001,53.020000,53.959999,53.318695,7242800
2017-10-16,53.779999,53.849998,53.279999,53.619999,52.982735,4810900
2017-10-17,53.509998,54.060001,52.660000,52.759998,52.132957,6547600
2017-10-18,52.849998,53.119999,52.669998,52.860001,52.231770,5402400
2017-10-19,52.570000,52.799999,51.369999,52.270000,51.648781,9567800
2017-10-20,52.619999,53.279999,52.529999,53.270000,52.636898,6707800
2017-10-23,53.299999,53.360001,52.230000,52.279999,51.658661,4095100
2017-10-24,52.500000,53.380001,52.029999,53.180000,52.547966,5306700
2017-10-25,53.259998,53.299999,52.130001,52.240002,51.619141,6043500
2017-10-26,52.869999,53.619999,50.740002,50.930000,50.324707,10913600
2017-10-27,50.919998,51.240002,49.950001,50.560001,49.959106,7574000
2017-10-30,50.220001,50.669998,50.009998,50.330002,49.731838,3960500
