Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,65.449997,66.949997,65.449997,66.690002,65.327881,3874800
2017-04-21,66.970001,67.150002,66.099998,66.230003,64.877281,2851900
2017-04-24,67.750000,67.800003,66.849998,66.910004,65.543396,3247200
2017-04-25,67.680000,67.730003,66.949997,67.279999,65.905823,3228500
2017-04-26,66.250000,66.449997,63.439999,65.230003,63.897705,5679900
2017-04-27,65.360001,65.389999,64.180000,64.320000,63.006283,3434000
2017-04-28,63.570000,63.939999,62.270000,62.590000,61.311626,5566900
2017-05-01,62.349998,62.630001,61.799999,61.970001,60.704285,4014400
2017-05-02,62.060001,62.169998,61.119999,61.930000,60.665100,4291200
2017-05-03,61.799999,62.060001,60.950001,61.139999,59.891232,5158100
2017-05-04,61.599998,61.680000,60.529999,60.549999,59.313290,4625400
2017-05-05,60.770000,61.099998,60.080002,60.299999,59.068394,6355500
2017-05-08,60.560001,60.669998,60.099998,60.430000,59.195736,5191800
2017-05-09,60.299999,60.910000,60.119999,60.700001,59.756882,4000300
2017-05-10,60.660000,60.779999,60.099998,60.310001,59.372940,3604100
2017-05-11,60.189999,60.799999,59.730000,60.240002,59.304028,3803000
2017-05-12,60.000000,60.320000,59.299999,60.270000,59.333565,4464300
2017-05-15,60.369999,60.990002,60.040001,60.810001,59.865173,5120300
2017-05-16,60.980000,61.119999,60.009998,60.169998,59.235115,3384800
2017-05-17,60.169998,60.169998,58.779999,58.840000,57.925781,3769300
2017-05-18,58.830002,59.570000,58.740002,59.279999,58.358944,4558300
2017-05-19,59.389999,60.849998,59.189999,60.110001,59.176048,4516100
2017-05-22,60.290001,60.410000,59.590000,59.709999,58.782265,3534700
2017-05-23,59.619999,59.950001,59.320000,59.740002,58.811798,2487200
2017-05-24,59.740002,59.910000,59.150002,59.200001,58.280186,2635900
2017-05-25,59.430000,59.619999,58.869999,59.040001,58.122673,5743000
2017-05-26,58.980000,59.939999,58.860001,59.799999,58.870865,2660000
2017-05-30,59.650002,59.720001,58.840000,58.860001,57.945469,2889800
2017-05-31,59.070000,59.270000,57.820000,58.700001,57.787956,3250800
2017-06-01,58.880001,59.430000,58.580002,59.070000,58.152206,2376000
2017-06-02,58.750000,59.490002,58.750000,58.910000,57.994690,2830600
2017-06-05,58.930000,59.369999,58.830002,59.020000,58.102985,2340800
2017-06-06,58.700001,58.990002,58.240002,58.689999,57.778111,3329400
2017-06-07,58.759998,59.820000,58.599998,59.369999,58.447544,2646500
2017-06-08,59.369999,60.400002,59.369999,59.730000,58.801952,2890800
2017-06-09,60.160000,60.720001,59.980000,60.570000,59.628902,2805700
2017-06-12,60.610001,61.500000,60.259998,60.730000,59.786415,3039100
2017-06-13,60.939999,61.619999,60.509998,61.360001,60.406628,2557000
2017-06-14,60.880001,60.900002,59.419998,60.630001,59.687973,2869800
2017-06-15,60.450001,61.410000,60.200001,60.720001,59.776569,2163400
2017-06-16,60.950001,61.270000,60.580002,61.099998,60.150661,3531900
2017-06-19,61.240002,61.470001,60.820000,61.139999,60.190044,1641600
2017-06-20,60.860001,61.189999,60.549999,60.779999,59.835640,1824500
2017-06-21,60.919998,60.919998,60.110001,60.360001,59.422165,1991700
2017-06-22,60.240002,60.599998,59.900002,60.240002,59.304028,1860400
2017-06-23,60.320000,60.630001,59.799999,60.040001,59.107136,8458100
2017-06-26,60.180000,60.910000,60.080002,60.610001,59.668282,1827300
2017-06-27,60.759998,61.500000,60.480000,61.070000,60.121132,2456800
2017-06-28,61.450001,62.320000,61.430000,61.880001,60.918552,3106400
2017-06-29,63.049999,63.279999,61.259998,61.509998,60.554295,5274700
2017-06-30,61.799999,62.619999,61.279999,62.189999,61.223728,3156100
2017-07-03,62.419998,63.020000,62.180000,62.270000,61.302486,1629900
2017-07-05,62.470001,62.500000,61.360001,61.509998,60.554295,3526300
2017-07-06,61.299999,62.009998,61.090000,61.200001,60.249111,3159100
2017-07-07,61.419998,61.730000,61.060001,61.369999,60.416470,2808900
2017-07-10,61.169998,61.279999,60.790001,61.099998,60.150661,2870300
2017-07-11,61.099998,61.250000,60.410000,60.759998,59.815952,2748800
2017-07-12,60.500000,61.340000,60.320000,61.139999,60.190044,2237300
2017-07-13,61.200001,61.590000,61.080002,61.419998,60.465694,3226600
2017-07-14,60.990002,61.430000,60.419998,61.259998,60.308182,2119000
2017-07-17,61.189999,61.369999,60.779999,61.070000,60.121132,2510100
2017-07-18,60.779999,61.060001,60.560001,61.040001,60.091602,1518900
2017-07-19,61.160000,61.400002,60.910000,61.139999,60.190044,1940200
2017-07-20,61.000000,61.560001,60.939999,61.369999,60.416470,1940300
2017-07-21,61.759998,62.860001,61.700001,62.529999,61.558449,3646300
2017-07-24,62.450001,62.720001,61.939999,62.529999,61.558449,2296300
