Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,85.500000,85.769997,82.849998,82.889999,82.357956,8817000
2017-04-21,82.889999,83.150002,81.580002,81.699997,81.175583,7637400
2017-04-24,82.650002,83.199997,82.120003,82.459999,81.930717,5328600
2017-04-25,82.800003,83.540001,82.650002,83.300003,82.765320,6760400
2017-04-26,83.660004,84.000000,82.820000,82.980003,82.447365,4874400
2017-04-27,83.169998,83.300003,82.779999,82.910004,82.377823,2769600
2017-04-28,82.919998,83.500000,82.870003,83.330002,82.795120,4255600
2017-05-01,83.570000,83.900002,83.120003,83.129997,82.596405,4232700
2017-05-02,83.400002,83.680000,82.940002,83.000000,82.467239,3741900
2017-05-03,83.029999,83.250000,82.440002,82.809998,82.278458,2218000
2017-05-04,82.779999,84.139999,82.779999,84.080002,83.540306,2997400
2017-05-05,84.379997,84.389999,83.709999,83.860001,83.321724,1632300
2017-05-08,83.889999,83.900002,83.389999,83.389999,82.854744,3284700
2017-05-09,83.290001,83.620003,83.019997,83.169998,82.636154,2448700
2017-05-10,83.099998,83.459999,82.779999,83.209999,82.675888,1749000
2017-05-11,83.010002,83.209999,82.470001,82.779999,82.248657,1974700
2017-05-12,82.620003,83.089996,82.559998,82.839996,82.308266,2134400
2017-05-15,83.029999,83.559998,82.930000,83.279999,82.745445,2755100
2017-05-16,83.230003,83.500000,82.489998,83.010002,82.477180,2005500
2017-05-17,83.010002,83.010002,81.849998,81.900002,81.374306,2156200
2017-05-18,81.750000,82.239998,81.360001,81.779999,81.255066,2689400
2017-05-19,82.040001,82.580002,81.709999,82.139999,81.612762,3108300
2017-05-22,82.139999,83.099998,82.050003,82.910004,82.377823,3444800
2017-05-23,83.300003,84.699997,83.169998,83.949997,83.411140,2838900
2017-05-24,84.400002,84.400002,83.809998,83.959999,83.421082,2209700
2017-05-25,83.949997,84.620003,83.660004,84.510002,83.967560,1955000
2017-05-26,84.309998,84.519997,84.050003,84.400002,83.858253,1084100
2017-05-30,84.190002,84.949997,83.910004,84.809998,84.265625,2426400
2017-05-31,85.000000,85.480003,84.910004,84.940002,84.394798,3756900
2017-06-01,85.269997,86.480003,85.019997,86.099998,85.547348,3334100
2017-06-02,86.120003,87.000000,86.080002,86.839996,86.282593,2480200
2017-06-05,86.800003,86.879997,86.510002,86.529999,85.974586,1671000
