Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,404.660004,407.549988,401.760010,405.130005,397.446228,459000
2017-04-21,405.410004,405.579987,401.290009,401.839996,394.218628,462700
2017-04-24,405.119995,406.470001,398.609985,404.029999,396.367096,539600
2017-04-25,404.299988,406.859985,403.200012,406.549988,398.839264,457000
2017-04-26,407.279999,409.869995,404.549988,407.329987,399.604492,556100
2017-04-27,414.390015,414.799988,403.000000,410.940002,403.146057,619800
2017-04-28,410.649994,418.119995,409.179993,417.700012,409.777832,567500
2017-05-01,417.690002,420.700012,416.299988,420.179993,412.210785,569300
2017-05-02,420.480011,423.559998,418.160004,422.859985,414.839935,479100
2017-05-03,424.089996,424.970001,420.179993,423.179993,415.153870,506200
2017-05-04,422.929993,425.339996,418.630005,424.279999,416.233032,574900
2017-05-05,424.540009,426.450012,421.750000,426.250000,418.165680,462200
2017-05-08,426.660004,427.690002,422.130005,426.640015,418.548279,598100
2017-05-09,427.640015,427.820007,424.420013,425.910004,417.832123,341100
2017-05-10,426.079987,427.290009,423.730011,425.049988,416.988403,366900
2017-05-11,424.350006,429.320007,422.910004,428.769989,420.637878,357300
2017-05-12,427.769989,431.290009,426.619995,431.070007,422.894257,532700
2017-05-15,430.880005,433.769989,429.059998,429.809998,421.658142,505700
2017-05-16,429.799988,431.390015,424.649994,427.640015,419.529327,368500
2017-05-17,426.600006,430.140015,426.160004,426.970001,418.871979,414000
2017-05-18,425.500000,426.559998,420.959991,425.760010,417.684998,530000
2017-05-19,426.690002,429.790009,423.980011,426.739990,418.646362,366400
2017-05-22,425.309998,435.350006,425.309998,434.679993,428.443756,407400
2017-05-23,435.799988,439.100006,434.350006,435.790009,429.537872,341000
2017-05-24,434.940002,441.720001,434.940002,440.429993,434.111267,423500
2017-05-25,442.640015,446.000000,439.940002,444.970001,438.586151,423200
2017-05-26,444.980011,446.579987,439.970001,441.220001,434.889954,296600
2017-05-30,440.470001,442.760010,439.790009,439.910004,433.598755,345400
2017-05-31,440.679993,442.649994,436.910004,441.010010,434.682983,741500
2017-06-01,441.700012,443.019989,436.029999,436.929993,430.661499,493800
2017-06-02,437.929993,444.709991,435.000000,444.320007,437.945496,530900
2017-06-05,442.559998,445.209991,440.149994,444.209991,437.837067,353600
2017-06-06,444.440002,447.260010,441.079987,442.309998,435.964294,373100
2017-06-07,442.019989,444.320007,437.160004,440.690002,434.367523,406400
2017-06-08,441.750000,441.869995,434.059998,440.390015,434.071869,392800
2017-06-09,439.390015,442.700012,435.779999,439.209991,432.908783,555000
2017-06-12,436.779999,440.170013,422.269989,425.010010,418.912537,869800
2017-06-13,425.570007,435.000000,425.440002,430.540009,424.363159,393400
2017-06-14,436.429993,437.339996,430.779999,432.100006,425.900787,408700
2017-06-15,429.079987,435.279999,427.100006,433.959991,427.734070,315600
2017-06-16,436.359985,437.339996,424.019989,427.279999,421.149933,1718100
2017-06-19,427.859985,432.640015,426.649994,432.220001,426.019073,457500
2017-06-20,433.779999,435.549988,430.100006,433.940002,427.714386,456100
2017-06-21,431.899994,437.000000,426.779999,436.489990,430.227783,702500
2017-06-22,436.200012,442.500000,433.010010,440.290009,433.973267,606100
2017-06-23,439.790009,442.619995,433.790009,434.070007,427.842529,1409500
2017-06-26,434.369995,440.140015,433.700012,438.489990,432.199127,473600
2017-06-27,437.940002,439.829987,433.149994,433.649994,427.428528,404700
2017-06-28,436.649994,437.959991,429.339996,430.760010,424.580017,357500
2017-06-29,428.119995,431.000000,416.720001,421.279999,415.236023,587600
2017-06-30,424.079987,431.230011,423.559998,429.160004,423.002960,528000
2017-07-03,431.540009,435.109985,421.320007,422.760010,416.694794,253300
2017-07-05,424.029999,425.559998,420.589996,424.079987,417.995850,368200
2017-07-06,421.500000,423.690002,416.640015,418.429993,412.426880,436400
2017-07-07,418.980011,425.350006,418.779999,423.299988,417.227020,365400
2017-07-10,423.769989,427.989990,423.149994,427.089996,420.962646,427400
2017-07-11,427.980011,431.820007,426.299988,431.040009,424.856018,547100
2017-07-12,433.250000,439.940002,430.970001,437.109985,430.838928,438000
2017-07-13,436.429993,438.529999,434.230011,436.239990,429.981384,301600
2017-07-14,437.920013,443.450012,436.679993,437.700012,431.420471,311200
2017-07-17,437.700012,438.869995,433.640015,435.480011,429.232330,458200
2017-07-18,435.000000,438.570007,431.859985,438.279999,431.992126,384500
2017-07-19,438.619995,444.549988,434.089996,440.500000,434.180267,383500
2017-07-20,440.200012,443.600006,438.059998,441.209991,434.880066,470600
2017-07-21,439.529999,445.200012,439.529999,441.440002,435.106781,514800
2017-07-24,441.040009,442.720001,438.260010,441.600006,435.264526,280700
2017-07-25,442.529999,445.350006,434.559998,436.959991,430.691040,261600
2017-07-26,438.320007,442.480011,436.959991,440.040009,433.726898,327300
2017-07-27,441.970001,443.959991,436.190002,442.869995,436.516296,374000
2017-07-28,441.790009,448.329987,441.790009,447.899994,441.474121,393800
2017-07-31,449.140015,451.290009,446.440002,450.730011,444.263519,369700
2017-08-01,452.250000,455.369995,450.859985,453.079987,446.579803,458200
2017-08-02,454.079987,457.459991,445.730011,455.470001,448.935547,633200
2017-08-03,459.000000,459.000000,442.619995,449.359985,442.913177,816300
2017-08-04,449.450012,453.540009,441.820007,445.579987,439.187378,441300
2017-08-07,445.959991,450.540009,443.950012,444.230011,437.856781,478700
2017-08-08,442.809998,444.890015,439.100006,441.529999,435.195496,296700
2017-08-09,441.609985,448.459991,440.170013,447.809998,441.385406,359500
2017-08-10,446.660004,446.920013,438.540009,439.480011,433.174927,279700
2017-08-11,440.709991,441.899994,437.320007,438.390015,432.100555,327500
2017-08-14,441.390015,450.299988,441.390015,449.489990,443.041290,431400
2017-08-15,445.720001,449.480011,445.720001,448.329987,441.897949,280600
2017-08-16,449.660004,455.739990,447.660004,454.790009,448.265289,307900
2017-08-17,454.779999,458.850006,451.230011,451.549988,445.071747,379100
2017-08-18,450.959991,454.290009,448.299988,450.000000,443.543976,520700
2017-08-21,447.200012,451.500000,447.190002,450.290009,445.811218,302400
2017-08-22,450.549988,457.040009,448.929993,456.290009,451.751556,340000
2017-08-23,455.709991,462.230011,455.609985,461.799988,457.206726,561700
2017-08-24,461.929993,465.890015,460.640015,463.529999,458.919495,478800
2017-08-25,465.239990,468.160004,463.709991,466.190002,461.553040,438600
2017-08-28,467.679993,468.859985,460.959991,462.910004,458.305664,304900
2017-08-29,462.109985,467.410004,460.450012,466.239990,461.602570,329800
2017-08-30,465.769989,466.790009,463.429993,465.670013,461.038239,325400
2017-08-31,467.010010,470.440002,465.579987,468.410004,463.750977,466600
2017-09-01,468.239990,469.880005,464.190002,465.959991,461.325317,348500
2017-09-05,464.829987,465.489990,456.200012,463.489990,458.879913,733400
2017-09-06,462.850006,464.510010,460.739990,463.519989,458.909607,519700
2017-09-07,464.000000,468.859985,462.260010,464.820007,460.196686,378500
2017-09-08,463.190002,464.609985,460.329987,462.000000,457.404724,655300
2017-09-11,464.519989,474.709991,462.450012,474.420013,469.701202,591300
2017-09-12,474.190002,475.279999,464.290009,468.380005,463.721283,452400
2017-09-13,468.359985,468.420013,457.649994,458.869995,454.305847,805200
2017-09-14,457.320007,457.660004,451.309998,454.910004,450.385254,697700
2017-09-15,456.579987,457.730011,447.519989,455.309998,450.781250,1024900
2017-09-18,456.220001,457.200012,449.089996,450.149994,445.672607,788600
2017-09-19,450.450012,456.989990,448.950012,453.040009,448.533844,788000
2017-09-20,453.739990,456.470001,447.019989,449.239990,444.771637,1020600
2017-09-21,449.549988,451.000000,446.500000,446.570007,442.128204,421200
2017-09-22,447.100006,449.339996,440.839996,441.660004,437.267029,407100
2017-09-25,441.839996,441.989990,435.899994,437.209991,432.861267,462500
2017-09-26,439.000000,439.070007,434.190002,434.420013,430.099060,418100
2017-09-27,434.679993,443.450012,430.709991,441.929993,437.534332,656100
2017-09-28,441.380005,443.820007,439.279999,441.720001,437.326447,285300
2017-09-29,441.510010,447.100006,439.670013,446.299988,441.860870,402600
2017-10-02,447.329987,451.559998,444.299988,444.480011,440.058990,420400
2017-10-03,443.929993,443.929993,440.299988,442.359985,437.960052,261700
2017-10-04,442.350006,444.079987,439.540009,442.970001,438.564026,226200
2017-10-05,445.160004,448.149994,443.190002,445.420013,440.989655,320400
2017-10-06,443.809998,449.950012,440.309998,448.829987,444.365692,381800
2017-10-09,448.959991,452.459991,447.980011,451.320007,446.830963,207800
2017-10-10,453.190002,457.290009,451.510010,451.890015,447.395294,259000
2017-10-11,453.649994,461.279999,453.570007,458.970001,454.404877,392900
2017-10-12,458.380005,468.220001,458.380005,464.700012,460.077881,439200
2017-10-13,467.290009,467.290009,460.829987,462.820007,458.216583,252500
2017-10-16,463.609985,465.920013,460.140015,461.350006,456.761200,220700
2017-10-17,460.410004,462.799988,458.589996,461.579987,456.988892,279000
2017-10-18,464.049988,471.619995,458.000000,471.230011,466.542938,407600
2017-10-19,470.700012,472.410004,469.459991,470.549988,465.869659,370500
2017-10-20,472.709991,472.709991,466.470001,468.760010,464.097473,321800
2017-10-23,469.429993,469.429993,458.200012,458.809998,454.246429,484700
2017-10-24,461.369995,464.480011,460.589996,462.970001,458.365082,299100
2017-10-25,462.750000,466.489990,457.329987,457.929993,453.375214,484800
2017-10-26,460.320007,462.709991,453.269989,454.200012,449.682312,468800
2017-10-27,454.570007,457.190002,453.049988,456.510010,451.969360,333500
2017-10-30,456.320007,461.790009,455.179993,459.730011,455.157318,246400
2017-10-31,458.359985,464.480011,457.309998,463.500000,458.889801,352600
2017-11-01,464.970001,467.739990,463.519989,467.059998,462.414398,427600
2017-11-02,481.000000,491.799988,476.399994,488.679993,483.819336,867800
2017-11-03,485.869995,489.920013,482.660004,486.649994,481.809540,464900
2017-11-06,484.989990,493.089996,484.989990,491.619995,486.730103,398100
2017-11-07,492.859985,493.799988,483.019989,488.059998,483.205536,489900
2017-11-08,486.940002,495.350006,486.940002,492.980011,488.076599,435600
2017-11-09,491.730011,493.910004,483.690002,484.859985,480.037323,244000
2017-11-10,484.239990,485.070007,480.920013,482.209991,477.413696,279000
2017-11-13,481.910004,485.920013,478.540009,484.119995,479.304688,428400
2017-11-14,480.070007,484.309998,478.320007,481.049988,478.240936,278000
2017-11-15,479.369995,483.440002,473.519989,474.420013,471.649689,312900
2017-11-16,474.899994,477.399994,473.339996,475.089996,472.315765,528400
2017-11-17,473.739990,475.630005,470.010010,472.799988,470.039124,297700
2017-11-20,474.269989,474.529999,470.489990,471.890015,469.134460,174800
2017-11-21,472.690002,475.130005,471.279999,474.260010,471.490601,374700
2017-11-22,473.079987,475.019989,470.799988,472.369995,469.611633,173800
2017-11-24,473.000000,476.730011,472.269989,474.070007,471.301727,99600
2017-11-27,474.040009,481.239990,472.109985,478.920013,476.123413,316300
2017-11-28,481.399994,481.489990,475.859985,477.950012,475.159058,391700
2017-11-29,478.000000,478.000000,464.929993,468.320007,465.585297,420100
2017-11-30,468.190002,468.190002,461.299988,464.489990,461.777649,590700
2017-12-01,464.750000,469.459991,461.239990,469.160004,466.420380,367600
2017-12-04,471.029999,471.390015,441.779999,442.279999,439.697357,654200
2017-12-05,442.290009,449.399994,441.000000,445.589996,442.988007,427700
2017-12-06,446.880005,452.730011,445.529999,450.239990,447.610870,325900
2017-12-07,450.739990,458.109985,448.019989,455.769989,453.108551,551200
2017-12-08,459.040009,459.660004,450.190002,452.390015,449.748322,384600
2017-12-11,451.630005,455.579987,446.420013,449.579987,446.954712,496700
2017-12-12,449.700012,453.109985,446.410004,450.209991,447.581024,327500
2017-12-13,454.709991,457.970001,450.250000,451.279999,448.644806,638500
2017-12-14,452.339996,461.170013,450.209991,460.350006,457.661835,391400
2017-12-15,462.429993,462.429993,455.309998,457.850006,455.176422,846700
2017-12-18,457.850006,461.980011,455.459991,455.820007,453.158295,551600
2017-12-19,455.649994,456.579987,445.309998,448.519989,445.900909,376900
2017-12-20,446.239990,448.170013,444.959991,447.200012,444.588623,486100
2017-12-21,448.809998,451.079987,444.660004,445.890015,443.286285,327200
2017-12-22,446.609985,448.200012,443.750000,446.600006,443.992126,444500
2017-12-26,443.010010,447.510010,442.649994,446.700012,444.091553,315600
2017-12-27,447.700012,452.160004,445.730011,451.690002,449.052399,299200
2017-12-28,451.119995,456.630005,449.399994,455.109985,452.452423,316800
2017-12-29,455.549988,458.859985,452.769989,453.220001,450.573456,266200
2018-01-02,453.529999,456.559998,445.970001,446.920013,444.310272,614300
2018-01-03,449.140015,452.559998,446.649994,448.980011,446.358246,464600
2018-01-04,449.329987,450.459991,447.429993,447.950012,445.334259,450500
2018-01-05,450.149994,450.940002,447.809998,449.489990,446.865234,335800
2018-01-08,450.790009,461.359985,448.000000,458.200012,455.524384,532500
2018-01-09,459.890015,461.730011,454.010010,455.980011,453.317352,397500
2018-01-10,453.019989,453.779999,442.260010,443.000000,440.413147,636300
2018-01-11,443.000000,452.279999,435.040009,435.390015,432.847595,606400
2018-01-12,436.170013,439.540009,428.299988,435.950012,433.404327,1090100
2018-01-16,436.799988,452.609985,436.489990,448.100006,445.483368,858100
2018-01-17,448.869995,452.489990,439.160004,441.899994,439.319550,627500
2018-01-18,440.100006,444.929993,436.820007,437.450012,434.895569,807400
2018-01-19,438.779999,442.070007,433.480011,437.890015,435.333008,598900
2018-01-22,438.000000,439.279999,433.309998,436.049988,433.503723,702000
2018-01-23,436.190002,446.209991,434.570007,442.000000,439.418976,797600
2018-01-24,442.779999,445.730011,438.850006,441.299988,438.723053,612200
2018-01-25,441.459991,444.779999,433.000000,439.170013,436.605530,929000
2018-01-26,435.000000,442.679993,432.010010,441.589996,439.011383,1228700
2018-01-29,446.980011,449.899994,434.470001,435.160004,432.618927,630800
2018-01-30,430.000000,441.839996,430.000000,439.559998,436.993225,700200
2018-01-31,442.450012,458.640015,440.100006,455.190002,452.531952,739500
2018-02-01,452.690002,457.859985,443.760010,444.540009,441.944153,568500
2018-02-02,442.000000,446.260010,435.519989,437.350006,434.796143,533000
2018-02-05,436.980011,441.839996,427.000000,429.809998,427.300171,580700
2018-02-06,427.309998,434.040009,421.209991,430.850006,428.334106,726100
2018-02-07,430.000000,438.049988,425.799988,426.079987,423.591919,424000
2018-02-08,427.570007,430.000000,409.940002,409.980011,407.585968,964900
2018-02-09,412.000000,430.010010,409.480011,425.809998,423.323517,1045500
2018-02-12,428.609985,438.170013,416.160004,431.450012,428.930603,876400
2018-02-13,431.690002,437.829987,426.010010,436.250000,433.702545,910100
2018-02-14,434.299988,436.880005,428.929993,435.829987,433.285004,879400
2018-02-15,418.269989,420.000000,401.000000,407.309998,404.931549,2817100
2018-02-16,405.290009,408.679993,396.290009,403.299988,400.944946,1316300
2018-02-20,400.750000,405.959991,396.119995,396.440002,394.125031,794600
2018-02-21,395.010010,396.040009,384.589996,384.920013,382.672302,1193900
2018-02-22,388.850006,393.540009,384.220001,390.450012,388.170013,858700
2018-02-23,390.140015,402.500000,390.140015,394.839996,394.839996,1033900
2018-02-26,396.679993,397.420013,391.040009,394.179993,394.179993,453200
2018-02-27,394.869995,396.649994,389.459991,391.209991,391.209991,513700
2018-02-28,396.579987,398.450012,391.279999,392.100006,392.100006,603800
2018-03-01,393.010010,394.679993,385.480011,386.290009,386.290009,548700
2018-03-02,385.660004,387.019989,374.910004,381.820007,381.820007,807900
2018-03-05,370.790009,391.000000,370.790009,388.510010,388.510010,426100
2018-03-06,387.899994,395.019989,386.959991,391.619995,391.619995,432500
2018-03-07,390.149994,394.160004,389.779999,391.380005,391.380005,649400
2018-03-08,393.059998,393.059998,387.369995,389.420013,389.420013,549100
2018-03-09,391.299988,395.380005,388.859985,395.160004,395.160004,456800
2018-03-12,397.489990,399.890015,394.880005,395.350006,395.350006,1087200
2018-03-13,397.390015,405.959991,397.339996,405.420013,405.420013,801700
2018-03-14,404.899994,416.440002,404.149994,413.709991,413.709991,908700
2018-03-15,412.579987,415.679993,410.720001,415.230011,415.230011,707100
2018-03-16,417.329987,421.000000,413.750000,419.890015,419.890015,1072900
2018-03-19,415.339996,418.170013,409.119995,411.709991,411.709991,945300
2018-03-20,411.320007,415.959991,411.320007,415.260010,415.260010,424200
2018-03-21,415.739990,415.980011,407.690002,411.839996,411.839996,618800
2018-03-22,410.859985,420.850006,407.820007,417.579987,417.579987,1023700
2018-03-23,417.739990,419.109985,401.000000,401.679993,401.679993,852300
2018-03-26,405.839996,410.269989,404.369995,409.609985,409.609985,450400
2018-03-27,410.760010,417.250000,404.000000,409.880005,409.880005,517100
2018-03-28,411.399994,418.440002,410.950012,417.019989,417.019989,590500
2018-03-29,420.089996,421.589996,414.799988,418.140015,418.140015,628800
2018-04-02,419.119995,419.809998,403.700012,408.549988,408.549988,627400
2018-04-03,409.109985,412.429993,404.980011,408.600006,408.600006,467500
2018-04-04,406.190002,413.179993,404.179993,411.989990,411.989990,497900
2018-04-05,412.609985,414.609985,409.010010,413.589996,413.589996,386000
2018-04-06,411.850006,416.230011,404.440002,407.040009,407.040009,518900
2018-04-09,410.089996,417.880005,408.049988,409.570007,409.570007,535700
2018-04-10,412.339996,415.179993,402.670013,405.589996,405.589996,576500
2018-04-11,403.239990,411.869995,401.660004,408.980011,408.980011,465600
2018-04-12,410.260010,410.600006,400.739990,401.200012,401.200012,358700
