Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,34.029999,34.669998,33.259998,34.619999,34.619999,3422800
2017-04-21,35.240002,35.490002,34.360001,34.549999,34.549999,6006800
2017-04-24,35.439999,36.220001,35.369999,35.450001,35.450001,3749200
2017-04-25,35.849998,36.040001,35.400002,35.500000,35.500000,3272300
2017-04-26,35.299999,35.750000,35.279999,35.500000,35.500000,4335500
2017-04-27,35.529999,35.740002,34.560001,34.860001,34.860001,3428200
2017-04-28,34.860001,34.959999,34.450001,34.549999,34.549999,2933600
2017-05-01,34.680000,34.919998,34.490002,34.830002,34.830002,2578700
2017-05-02,34.959999,34.959999,34.650002,34.810001,34.810001,2454200
2017-05-03,34.669998,36.040001,34.500000,36.029999,36.029999,6117200
2017-05-04,36.250000,36.580002,35.689999,35.919998,35.919998,3156200
2017-05-05,36.040001,36.180000,35.480000,35.799999,35.799999,1908900
2017-05-08,35.799999,35.990002,35.570000,35.689999,35.689999,2882800
2017-05-09,35.759998,36.119999,35.540001,35.630001,35.630001,2359300
2017-05-10,35.520000,35.639999,35.080002,35.279999,35.279999,2875000
2017-05-11,35.040001,35.200001,34.290001,34.880001,34.880001,2300200
2017-05-12,34.630001,34.720001,34.099998,34.380001,34.380001,2405200
2017-05-15,34.560001,35.000000,34.490002,34.980000,34.980000,1966400
2017-05-16,35.169998,35.320000,34.689999,35.279999,35.279999,2091600
2017-05-17,34.380001,34.669998,33.060001,33.400002,33.400002,2940500
2017-05-18,33.340000,33.770000,33.270000,33.389999,33.389999,4018800
2017-05-19,33.529999,34.459999,33.340000,34.049999,34.049999,4046900
2017-05-22,34.250000,34.500000,34.029999,34.360001,34.360001,1383400
2017-05-23,34.410000,34.930000,33.980000,34.730000,34.730000,1879000
2017-05-24,34.730000,34.730000,34.290001,34.599998,34.599998,1501500
2017-05-25,34.799999,35.560001,34.619999,35.189999,35.189999,2179000
2017-05-26,35.070000,35.209999,34.849998,35.080002,35.080002,1460400
2017-05-30,34.930000,34.990002,34.549999,34.740002,34.740002,1679500
2017-05-31,34.759998,34.950001,34.000000,34.610001,34.610001,2237500
2017-06-01,34.849998,35.270000,34.419998,34.919998,34.919998,2616300
2017-06-02,34.480000,34.709999,34.169998,34.580002,34.580002,2430700
2017-06-05,34.700001,35.400002,34.610001,35.169998,35.169998,2085900
