Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,134.830002,136.100006,134.399994,135.800003,133.212296,268100
2017-04-21,135.990005,136.570007,135.740005,136.119995,133.526199,283100
2017-04-24,137.059998,138.429993,136.820007,138.029999,135.399811,398100
2017-04-25,138.889999,139.869995,137.720001,139.089996,136.439590,377400
2017-04-26,139.039993,139.800003,138.589996,138.800003,136.155136,378000
2017-04-27,139.139999,140.199997,138.809998,139.729996,137.067413,382300
2017-04-28,139.580002,139.580002,138.360001,138.589996,135.949127,301200
2017-05-01,139.190002,139.300003,138.100006,138.979996,136.331711,195400
2017-05-02,138.869995,138.929993,136.410004,138.220001,135.586166,305200
2017-05-03,138.479996,139.000000,137.509995,138.830002,136.184570,269800
2017-05-04,138.899994,139.750000,137.679993,138.470001,135.831406,550100
2017-05-05,138.949997,139.869995,138.809998,139.270004,136.616196,567800
2017-05-08,139.270004,139.470001,136.880005,137.380005,134.762177,882100
2017-05-09,133.750000,133.750000,128.500000,128.979996,126.522247,1749000
2017-05-10,128.419998,130.449997,128.419998,130.330002,127.846519,609300
2017-05-11,130.279999,131.000000,129.550003,130.850006,128.356628,348900
2017-05-12,130.699997,130.919998,129.970001,130.710007,128.219284,360000
2017-05-15,130.970001,132.929993,130.529999,132.490005,129.965378,449400
2017-05-16,132.470001,133.520004,132.009995,133.160004,130.622604,367700
2017-05-17,133.160004,134.899994,132.089996,133.149994,130.612793,649900
2017-05-18,132.289993,135.089996,131.350006,134.259995,131.701630,407400
2017-05-19,134.520004,135.399994,134.169998,134.809998,132.241165,336500
2017-05-22,135.610001,136.080002,135.009995,135.850006,133.261337,290500
2017-05-23,135.910004,137.039993,135.639999,136.520004,133.918579,301700
2017-05-24,136.119995,138.509995,136.119995,137.899994,135.272278,439900
2017-05-25,137.899994,138.899994,137.570007,138.410004,135.772568,1105500
2017-05-26,138.460007,138.850006,138.029999,138.440002,135.802002,243900
2017-05-30,137.940002,138.139999,136.589996,136.990005,134.379654,458500
2017-05-31,137.190002,138.070007,136.449997,137.889999,135.262466,429000
2017-06-01,137.720001,139.770004,137.589996,138.179993,135.546936,411500
2017-06-02,138.220001,139.339996,138.020004,139.240005,136.586761,279700
2017-06-05,139.419998,140.440002,138.949997,139.449997,136.792725,326900
2017-06-06,138.869995,139.690002,138.210007,138.800003,136.155136,347000
2017-06-07,138.220001,139.679993,137.740005,137.869995,135.242844,362600
2017-06-08,137.869995,137.869995,135.119995,135.690002,133.104401,519700
2017-06-09,136.119995,137.229996,135.860001,137.199997,134.585617,482900
2017-06-12,137.369995,137.669998,136.250000,136.440002,133.840118,297100
2017-06-13,136.119995,136.970001,134.470001,136.500000,133.898972,441200
2017-06-14,136.649994,137.289993,135.009995,136.509995,133.908768,485100
2017-06-15,135.880005,136.410004,134.050003,135.089996,132.515808,709600
2017-06-16,135.119995,135.589996,134.009995,134.580002,132.015533,1135200
2017-06-19,135.100006,136.649994,134.539993,136.139999,133.545837,389100
2017-06-20,136.210007,137.330002,136.029999,136.190002,133.594864,373700
2017-06-21,136.820007,137.369995,135.710007,136.080002,133.486954,454300
2017-06-22,135.830002,135.830002,134.330002,135.130005,133.181427,310000
2017-06-23,135.229996,136.710007,134.820007,136.149994,134.186707,402200
2017-06-26,136.460007,138.000000,135.750000,137.070007,135.093460,398800
2017-06-27,137.070007,137.110001,135.289993,135.369995,133.417969,296300
2017-06-28,136.250000,136.940002,135.669998,135.910004,133.950195,376600
2017-06-29,136.039993,136.039993,132.389999,133.479996,131.555222,422900
2017-06-30,133.860001,135.940002,133.860001,135.000000,133.053314,420000
2017-07-03,135.600006,136.059998,134.830002,134.899994,132.954742,149100
2017-07-05,134.990005,135.410004,133.850006,134.210007,132.274704,401700
2017-07-06,133.279999,133.470001,132.029999,132.160004,130.254257,275900
2017-07-07,132.210007,132.610001,131.479996,131.880005,129.978302,420300
2017-07-10,131.830002,132.509995,131.130005,131.690002,129.791046,325700
2017-07-11,131.820007,132.369995,130.940002,131.979996,130.076843,288700
2017-07-12,132.710007,133.720001,132.419998,133.559998,131.634064,354100
2017-07-13,133.550003,133.580002,132.029999,132.729996,130.816040,516500
2017-07-14,132.949997,134.360001,132.460007,133.729996,131.801605,392100
2017-07-17,133.759995,134.399994,133.130005,133.880005,131.949463,385600
2017-07-18,133.770004,135.690002,133.770004,135.059998,133.112442,303500
2017-07-19,135.380005,136.270004,134.630005,135.229996,133.279984,370000
2017-07-20,135.130005,135.130005,132.660004,133.369995,131.446793,396300
2017-07-21,133.179993,133.179993,131.389999,133.009995,131.091995,406100
2017-07-24,132.880005,132.880005,131.270004,132.509995,130.599197,372200
2017-07-25,133.169998,134.860001,132.850006,132.979996,131.062424,527600
2017-07-26,133.039993,133.940002,132.759995,133.380005,131.456665,505700
2017-07-27,133.369995,134.250000,133.089996,133.580002,131.653778,449900
2017-07-28,133.639999,133.809998,132.589996,133.149994,131.229980,340600
2017-07-31,133.360001,133.990005,132.860001,133.179993,131.259537,438700
2017-08-01,133.679993,135.130005,133.460007,134.570007,132.629517,445800
2017-08-02,134.360001,135.610001,133.559998,133.839996,131.910034,636800
2017-08-03,134.020004,134.850006,133.250000,134.330002,132.392975,672000
2017-08-04,134.610001,135.009995,134.270004,134.800003,132.856186,354700
2017-08-07,134.759995,135.479996,134.529999,134.809998,132.866058,439700
2017-08-08,134.679993,136.009995,134.369995,134.639999,132.698502,667500
2017-08-09,136.220001,140.000000,134.610001,139.679993,137.665817,1016600
2017-08-10,139.190002,139.529999,136.529999,136.850006,134.876633,728700
2017-08-11,137.190002,137.190002,134.470001,135.380005,133.427826,372000
2017-08-14,136.210007,137.399994,135.889999,137.059998,135.083603,280700
2017-08-15,137.220001,138.000000,136.630005,137.070007,135.093460,362400
2017-08-16,137.389999,138.699997,136.919998,138.539993,136.542252,265500
2017-08-17,137.940002,138.320007,135.229996,135.279999,133.329269,252000
2017-08-18,135.059998,135.839996,134.110001,134.830002,132.885757,352100
2017-08-21,134.850006,135.300003,134.149994,134.880005,132.935043,271300
2017-08-22,134.940002,136.039993,134.830002,135.860001,133.900909,179700
2017-08-23,134.789993,135.660004,134.619995,135.119995,133.171570,284600
2017-08-24,135.610001,135.869995,135.110001,135.229996,133.279984,181400
2017-08-25,135.419998,136.610001,135.419998,135.919998,133.960037,168800
2017-08-28,136.250000,136.509995,135.470001,136.139999,134.176865,170700
2017-08-29,135.240005,136.410004,134.929993,135.949997,133.989609,224400
2017-08-30,135.669998,137.369995,135.669998,136.220001,134.255722,256600
2017-08-31,136.660004,137.059998,136.169998,136.850006,134.876633,282200
2017-09-01,137.100006,138.389999,137.100006,137.940002,135.950912,205400
2017-09-05,137.750000,139.479996,137.529999,139.259995,137.251877,342100
2017-09-06,139.699997,139.729996,137.970001,139.059998,137.054764,237400
2017-09-07,139.320007,140.740005,139.320007,140.559998,138.533127,296700
2017-09-08,140.529999,142.380005,140.300003,141.830002,139.784836,267900
2017-09-11,142.779999,144.029999,142.100006,143.139999,141.075928,318000
2017-09-12,143.369995,144.119995,142.509995,143.210007,141.144928,416900
2017-09-13,143.089996,143.690002,142.720001,143.139999,141.075928,284800
2017-09-14,142.880005,143.899994,142.669998,143.660004,141.588440,232100
2017-09-15,143.559998,144.130005,143.220001,143.779999,141.706696,393700
2017-09-18,144.029999,144.440002,143.259995,144.139999,142.061508,192600
2017-09-19,144.399994,144.720001,143.759995,144.619995,142.534592,158900
2017-09-20,144.639999,145.520004,144.119995,145.009995,142.918961,267500
2017-09-21,144.839996,145.139999,143.399994,143.770004,141.696854,371700
2017-09-22,143.130005,144.449997,142.759995,144.210007,142.815933,380700
2017-09-25,143.949997,144.990005,143.399994,144.889999,143.489334,257400
2017-09-26,145.490005,145.889999,143.800003,143.830002,142.439590,221400
2017-09-27,144.029999,144.029999,139.679993,141.020004,139.656754,667900
2017-09-28,140.850006,143.250000,140.850006,142.600006,141.221497,255300
2017-09-29,142.580002,143.380005,142.479996,142.910004,141.528488,266900
2017-10-02,143.270004,144.630005,142.979996,144.470001,143.073410,395300
2017-10-03,144.759995,145.919998,144.229996,145.910004,144.499481,351900
2017-10-04,145.850006,146.919998,145.380005,146.649994,145.232330,267200
2017-10-05,147.179993,147.500000,146.460007,147.250000,145.826538,407800
2017-10-06,146.589996,146.850006,144.960007,145.630005,144.222198,296900
