Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,125.279999,125.489998,123.050003,123.110001,123.110001,2035200
2017-04-21,123.500000,125.349998,122.510002,123.010002,123.010002,1818900
2017-04-24,124.059998,124.739998,123.500000,123.910004,123.910004,1155300
2017-04-25,124.660004,124.910004,124.019997,124.389999,124.389999,1175900
2017-04-26,124.680000,125.470001,122.320000,123.080002,123.080002,1151700
2017-04-27,123.000000,125.360001,122.550003,124.169998,124.169998,1038100
2017-04-28,124.260002,124.800003,123.019997,124.279999,124.279999,961800
2017-05-01,124.779999,125.589996,123.209999,124.000000,124.000000,1149900
2017-05-02,123.980003,124.440002,121.519997,123.709999,123.709999,1343300
2017-05-03,123.430000,124.540001,122.809998,123.209999,123.209999,1474400
2017-05-04,126.230003,127.800003,123.339996,125.000000,125.000000,1405000
2017-05-05,124.139999,124.800003,120.500000,122.410004,122.410004,2010700
2017-05-08,121.720001,121.800003,116.440002,117.790001,117.790001,2582900
2017-05-09,117.470001,119.919998,117.040001,119.730003,119.730003,1204300
2017-05-10,119.669998,119.919998,118.080002,118.220001,118.220001,1227400
2017-05-11,117.870003,118.410004,116.209999,116.430000,116.430000,1358600
2017-05-12,115.989998,117.860001,114.330002,115.190002,115.190002,2732700
2017-05-15,115.000000,117.489998,114.029999,117.349998,117.349998,1710300
2017-05-16,117.489998,120.870003,117.099998,117.760002,117.760002,2682000
2017-05-17,116.980003,121.680000,116.080002,120.489998,120.489998,3733600
2017-05-18,128.160004,131.750000,125.389999,128.800003,128.800003,5666300
2017-05-19,129.029999,133.800003,129.000000,131.429993,131.429993,3856500
2017-05-22,131.199997,134.889999,130.220001,134.429993,134.429993,2031400
2017-05-23,134.169998,136.300003,133.509995,136.160004,136.160004,1199100
2017-05-24,136.399994,138.750000,135.009995,138.100006,138.100006,1301400
2017-05-25,138.990005,139.979996,138.210007,138.410004,138.410004,1770500
2017-05-26,138.460007,139.490005,132.649994,134.380005,134.380005,2365700
2017-05-30,133.800003,134.130005,129.649994,130.490005,130.490005,1723200
2017-05-31,131.800003,133.820007,128.820007,129.330002,129.330002,2405900
2017-06-01,130.000000,130.960007,127.849998,129.279999,129.279999,1911900
