Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,90.120003,91.239998,90.120003,90.570000,89.351509,1719400
2017-04-21,90.570000,91.169998,87.919998,87.989998,86.806213,2484200
2017-04-24,89.129997,89.849998,88.570000,89.669998,88.463608,1977100
2017-04-25,89.900002,90.879997,89.410004,90.360001,89.144333,2292300
2017-04-26,90.440002,91.500000,86.150002,86.779999,85.612495,4465000
2017-04-27,88.769997,91.360001,88.500000,89.879997,88.670784,2906100
2017-04-28,89.849998,90.260002,89.029999,90.070000,88.858231,1481400
2017-05-01,90.370003,90.459999,89.260002,89.660004,88.453758,945300
2017-05-02,89.690002,90.070000,89.300003,89.940002,88.729988,713200
2017-05-03,89.650002,90.000000,89.050003,89.660004,88.453758,652800
2017-05-04,89.639999,90.250000,89.519997,90.040001,88.828644,732900
2017-05-05,90.139999,91.750000,89.959999,91.620003,90.387390,852200
2017-05-08,91.400002,92.389999,91.400002,91.980003,90.742531,1087900
2017-05-09,92.169998,92.889999,91.870003,92.349998,91.107567,1241800
2017-05-10,92.500000,92.849998,90.660004,90.870003,89.647469,884600
2017-05-11,90.379997,90.959999,89.919998,90.809998,89.588272,876200
2017-05-12,90.650002,91.330002,90.379997,91.169998,89.943436,522600
2017-05-15,91.720001,92.000000,91.239998,91.779999,90.545227,603100
2017-05-16,91.809998,92.099998,91.209999,91.379997,90.150612,614200
2017-05-17,91.379997,91.379997,89.879997,90.000000,88.789169,1069100
2017-05-18,89.489998,90.639999,88.660004,90.169998,88.956879,1070700
2017-05-19,90.540001,90.879997,90.120003,90.269997,89.055542,1227700
2017-05-22,90.519997,91.000000,90.099998,90.629997,89.410698,887400
2017-05-23,90.800003,91.029999,90.239998,90.540001,89.321915,750500
2017-05-24,90.639999,90.750000,89.980003,90.300003,89.085144,780100
2017-05-25,91.080002,93.279999,90.550003,93.070000,91.817871,1738900
2017-05-26,92.750000,96.230003,92.750000,95.949997,94.659119,1577900
2017-05-30,95.489998,96.820000,95.480003,96.019997,94.728180,1124600
2017-05-31,96.070000,96.379997,94.699997,95.199997,93.919212,992800
2017-06-01,95.750000,96.269997,95.139999,95.800003,94.511154,1048700
2017-06-02,96.070000,96.389999,95.120003,95.589996,94.303970,702600
2017-06-05,95.849998,96.169998,95.589996,96.019997,94.728180,924500
2017-06-06,95.809998,96.919998,95.320000,96.559998,95.260918,1036200
2017-06-07,96.540001,97.650002,96.010002,97.459999,96.148811,991400
2017-06-08,97.129997,98.910004,97.000000,98.849998,97.851433,2010000
2017-06-09,99.010002,100.129997,98.849998,99.589996,98.583961,1785600
2017-06-12,99.510002,100.230003,99.010002,99.949997,98.940323,1313400
2017-06-13,100.000000,102.059998,99.800003,101.750000,100.722137,1228500
2017-06-14,101.959999,101.959999,100.660004,100.970001,99.950027,1139600
2017-06-15,100.570000,102.220001,100.019997,101.860001,100.831024,783100
2017-06-16,102.320000,103.879997,102.239998,103.830002,102.781128,1586200
2017-06-19,103.870003,104.470001,102.940002,103.500000,102.454468,866100
2017-06-20,103.500000,103.500000,101.349998,101.410004,100.385582,939900
2017-06-21,100.989998,101.120003,100.010002,100.220001,99.207596,1268800
2017-06-22,100.250000,102.279999,99.779999,101.660004,100.633057,1159000
2017-06-23,101.400002,102.389999,101.040001,101.860001,100.831024,1076700
2017-06-26,102.500000,103.820000,102.419998,102.790001,101.751633,577300
2017-06-27,102.599998,102.989998,102.260002,102.279999,101.246780,551700
2017-06-28,103.000000,103.730003,102.949997,103.349998,102.305969,454700
2017-06-29,103.660004,103.699997,101.949997,102.489998,101.454666,583900
2017-06-30,103.059998,105.150002,102.650002,104.650002,103.592850,1063700
2017-07-03,105.099998,105.330002,104.199997,104.919998,103.860115,481600
2017-07-05,104.910004,104.910004,103.870003,104.279999,103.226578,921300
2017-07-06,103.930000,104.050003,102.860001,103.110001,102.068405,1149900
2017-07-07,103.339996,104.800003,103.110001,104.339996,103.285973,707900
2017-07-10,104.349998,104.879997,103.919998,104.669998,103.612648,969000
2017-07-11,104.910004,104.910004,103.110001,104.010002,102.959312,756900
2017-07-12,104.790001,105.529999,104.480003,105.080002,104.018501,501800
2017-07-13,105.360001,105.919998,104.889999,105.080002,104.018501,582800
2017-07-14,105.339996,105.570000,104.580002,104.839996,103.780922,1066300
2017-07-17,105.080002,105.080002,104.010002,104.230003,103.177094,880000
2017-07-18,104.290001,104.489998,103.300003,104.190002,103.137505,823600
2017-07-19,104.110001,104.110001,103.029999,103.570000,102.523758,955500
2017-07-20,103.980003,104.180000,101.940002,104.070000,103.018707,1869800
2017-07-21,100.250000,105.500000,100.169998,105.250000,104.186783,1738100
2017-07-24,105.589996,106.349998,104.540001,105.010002,103.949219,1209600
2017-07-25,105.550003,105.750000,104.150002,104.349998,103.295876,842800
2017-07-26,104.449997,104.860001,103.199997,104.199997,103.147385,802900
2017-07-27,104.169998,104.199997,101.029999,101.510002,100.484566,1142000
2017-07-28,101.519997,103.360001,101.230003,103.120003,102.078308,1166500
2017-07-31,103.320000,104.190002,102.260002,103.190002,102.147598,1157900
2017-08-01,103.120003,103.190002,100.660004,101.309998,100.286583,2334200
2017-08-02,101.650002,102.110001,101.000000,102.110001,101.078506,1917100
2017-08-03,102.120003,102.669998,101.300003,102.050003,101.019112,1242600
