Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,39.810001,39.810001,39.340000,39.720001,38.493675,1248000
2017-04-21,39.700001,40.139999,39.689999,39.959999,38.726261,1219800
2017-04-24,40.029999,40.119999,39.549999,40.070000,38.832863,1351600
2017-04-25,39.939999,40.090000,39.709999,40.009998,38.774719,1496400
2017-04-26,39.650002,39.669998,39.369999,39.480000,38.564705,1943800
2017-04-27,39.500000,39.990002,39.500000,39.720001,38.799145,1729600
2017-04-28,39.590000,39.740002,39.209999,39.320000,38.408413,1899500
2017-05-01,39.400002,39.439999,38.950001,39.099998,38.193512,1185600
2017-05-02,39.209999,39.470001,39.200001,39.419998,38.506096,1547500
2017-05-03,39.360001,39.529999,39.220001,39.290001,38.379112,1405700
2017-05-04,39.529999,40.000000,39.130001,39.869999,38.945667,2181300
2017-05-05,39.939999,40.180000,39.900002,40.060001,39.131260,1452600
2017-05-08,40.099998,40.139999,39.590000,39.790001,38.867523,1272500
2017-05-09,39.790001,39.840000,39.500000,39.570000,38.652618,1317900
2017-05-10,39.580002,39.720001,39.310001,39.520000,38.603779,1366700
2017-05-11,39.410000,39.470001,39.130001,39.400002,38.486561,1256300
2017-05-12,39.540001,39.700001,39.419998,39.610001,38.691696,1724200
2017-05-15,39.630001,39.860001,39.549999,39.779999,38.857754,1093500
2017-05-16,39.700001,39.799999,39.380001,39.380001,38.467026,1307400
2017-05-17,39.380001,39.869999,39.380001,39.619999,38.701462,1492200
2017-05-18,39.639999,40.000000,39.369999,39.820000,38.896824,1724600
2017-05-19,39.770000,39.900002,39.330002,39.750000,38.828445,6536500
2017-05-22,39.630001,40.459999,39.630001,40.380001,39.443840,1616000
2017-05-23,40.369999,41.270000,40.330002,40.910000,39.961552,2437600
2017-05-24,41.000000,41.270000,40.990002,41.119999,40.166683,1741300
2017-05-25,41.160000,41.580002,41.090000,41.560001,40.596485,1385200
2017-05-26,41.520000,41.639999,41.230000,41.360001,40.401123,958200
2017-05-30,41.250000,41.490002,41.180000,41.470001,40.508572,1465300
2017-05-31,41.509998,41.709999,41.430000,41.470001,40.508572,2186000
2017-06-01,41.459999,41.639999,41.299999,41.630001,40.664864,1757100
2017-06-02,41.869999,41.910000,41.540001,41.830002,40.860222,1151800
2017-06-05,41.799999,41.849998,41.610001,41.639999,40.674629,759700
2017-06-06,41.759998,41.759998,41.439999,41.459999,40.498802,941000
2017-06-07,41.500000,41.750000,41.410000,41.610001,40.645329,986600
2017-06-08,41.610001,41.610001,40.959999,41.250000,40.293671,1195300
2017-06-09,41.139999,41.290001,40.950001,41.259998,40.303436,1132500
2017-06-12,41.259998,41.529999,41.169998,41.169998,40.215523,971900
2017-06-13,41.169998,41.279999,41.000000,41.250000,40.293671,777300
2017-06-14,41.660000,41.840000,41.410000,41.570000,40.606251,942600
2017-06-15,41.439999,41.669998,41.369999,41.669998,40.703930,745300
2017-06-16,41.770000,42.189999,41.669998,42.180000,41.202110,1965500
2017-06-19,42.180000,42.180000,41.700001,41.860001,40.889530,745700
2017-06-20,41.889999,41.970001,41.740002,41.840000,40.869991,858300
2017-06-21,41.830002,41.900002,41.549999,41.799999,40.830917,858900
2017-06-22,41.730000,41.810001,41.570000,41.590000,40.625790,850800
2017-06-23,41.540001,41.730000,41.369999,41.450001,40.489037,1103500
2017-06-26,41.470001,41.930000,41.310001,41.689999,40.723473,730700
2017-06-27,41.500000,41.560001,40.980000,41.119999,40.166683,934900
2017-06-28,41.259998,41.330002,40.849998,40.869999,39.922478,1592500
2017-06-29,40.599998,40.650002,40.259998,40.450001,39.512218,1223900
2017-06-30,40.570000,40.660000,40.160000,40.169998,39.238708,1514200
2017-07-03,40.310001,40.360001,39.869999,39.889999,38.965202,724200
2017-07-05,39.919998,39.980000,39.599998,39.759998,38.838211,1118500
2017-07-06,39.599998,39.770000,39.540001,39.669998,38.750298,864200
2017-07-07,39.689999,39.939999,39.630001,39.709999,38.789375,683600
2017-07-10,39.779999,39.880001,39.560001,39.560001,38.642853,960800
2017-07-11,39.639999,39.709999,39.360001,39.590000,38.672153,802100
2017-07-12,39.889999,40.029999,39.830002,39.880001,38.955437,617900
2017-07-13,39.880001,40.009998,39.570000,39.730000,38.808910,1385100
2017-07-14,40.049999,40.209999,39.869999,39.970001,39.043346,784300
2017-07-17,39.959999,40.130001,39.810001,40.130001,39.199635,727900
2017-07-18,40.150002,40.360001,40.099998,40.279999,39.346157,624700
2017-07-19,40.299999,40.500000,40.240002,40.500000,39.561062,767900
2017-07-20,40.660000,41.020000,40.570000,41.009998,40.059231,1256800
2017-07-21,40.970001,41.389999,40.889999,41.380001,40.420658,829300
2017-07-24,41.410000,41.660000,40.840000,40.840000,39.893173,918600
2017-07-25,40.799999,40.910000,40.450001,40.549999,39.609898,687200
2017-07-26,40.509998,40.880001,40.470001,40.869999,39.922478,804000
2017-07-27,40.470001,40.759998,40.430000,40.730000,40.094753,765000
2017-07-28,40.689999,40.779999,40.310001,40.470001,39.838806,1305100
2017-07-31,40.459999,40.610001,40.310001,40.529999,39.897869,1128900
2017-08-01,40.529999,40.930000,40.500000,40.830002,40.193192,1506800
2017-08-02,40.660000,40.959999,40.520000,40.950001,40.311317,973100
2017-08-03,40.740002,41.150002,40.740002,41.090000,40.449135,1147500
2017-08-04,41.400002,41.400002,40.770000,41.090000,40.449135,1051800
2017-08-07,41.110001,41.320000,41.029999,41.279999,40.636173,651500
2017-08-08,41.240002,41.580002,41.150002,41.570000,40.921650,729400
2017-08-09,41.689999,41.730000,41.480000,41.509998,40.862583,1195600
2017-08-10,41.500000,41.750000,41.419998,41.630001,40.980717,905400
2017-08-11,41.590000,41.590000,41.290001,41.369999,40.724770,1407000
2017-08-14,41.430000,41.700001,41.380001,41.669998,41.020088,651500
2017-08-15,41.540001,41.959999,41.500000,41.910000,41.256344,568900
2017-08-16,41.880001,42.110001,41.860001,42.080002,41.423698,590300
2017-08-17,42.139999,42.150002,41.680000,41.770000,41.118530,949800
2017-08-18,41.689999,42.320000,41.580002,42.240002,41.581203,1412700
2017-08-21,42.299999,42.450001,42.169998,42.400002,41.738708,837900
2017-08-22,42.400002,42.820000,42.270000,42.720001,42.053715,1112700
2017-08-23,42.680000,43.060001,42.540001,43.009998,42.339188,1502600
2017-08-24,43.000000,43.090000,42.750000,42.860001,42.191528,892400
2017-08-25,42.990002,43.090000,42.730000,42.869999,42.201374,1142000
2017-08-28,42.959999,43.130001,42.880001,43.080002,42.408100,1178300
2017-08-29,43.139999,43.230000,42.970001,43.060001,42.388412,887700
2017-08-30,43.000000,43.060001,42.700001,42.770000,42.102932,1459200
2017-08-31,42.770000,42.939999,42.720001,42.740002,42.073402,981600
2017-09-01,42.840000,42.919998,42.540001,42.570000,41.906055,1049200
2017-09-05,42.680000,42.970001,42.570000,42.910000,42.240749,1033600
2017-09-06,43.000000,43.060001,42.560001,42.599998,41.935581,711000
2017-09-07,42.740002,43.029999,42.650002,42.950001,42.280128,1175100
2017-09-08,42.930000,43.240002,42.750000,43.189999,42.516384,725500
2017-09-11,43.119999,43.689999,43.040001,43.599998,42.919987,939600
2017-09-12,43.500000,43.509998,42.610001,42.750000,42.083244,945900
2017-09-13,42.709999,42.830002,42.380001,42.450001,41.787926,868000
2017-09-14,42.430000,42.950001,42.270000,42.919998,42.250591,840700
2017-09-15,42.980000,43.029999,42.650002,42.900002,42.230907,1954500
2017-09-18,42.889999,42.910000,42.150002,42.490002,41.827305,1059500
2017-09-19,42.520000,42.669998,42.310001,42.529999,41.866676,1605500
2017-09-20,42.669998,42.709999,41.990002,42.150002,41.492607,1507800
2017-09-21,42.189999,42.459999,42.029999,42.060001,41.404007,653300
2017-09-22,42.310001,42.310001,41.720001,41.730000,41.079151,684400
2017-09-25,41.680000,42.310001,41.580002,42.250000,41.591045,975000
2017-09-26,42.189999,42.320000,42.009998,42.250000,41.591045,1091000
2017-09-27,42.020000,42.169998,41.299999,41.580002,40.931496,1481400
2017-09-28,41.540001,41.779999,41.160000,41.700001,41.049622,1295700
2017-09-29,41.630001,41.770000,41.430000,41.570000,40.921650,1249000
2017-10-02,41.209999,41.790001,41.209999,41.599998,40.951183,1419800
2017-10-03,41.549999,41.570000,41.049999,41.380001,40.734615,1883700
2017-10-04,41.520000,42.070000,41.330002,41.950001,41.295723,2053100
2017-10-05,41.970001,42.040001,41.770000,41.900002,41.246502,2063800
2017-10-06,41.770000,42.139999,41.599998,41.919998,41.266190,1453400
2017-10-09,42.000000,42.180000,41.900002,41.990002,41.335098,1748700
2017-10-10,42.020000,42.360001,41.840000,42.340000,41.679642,870500
2017-10-11,42.320000,42.919998,42.320000,42.660000,41.994648,1687000
2017-10-12,42.650002,43.029999,42.650002,43.009998,42.339188,1483900
2017-10-13,43.090000,43.459999,42.930000,43.049999,42.378567,1690000
2017-10-16,43.090000,43.200001,42.779999,43.119999,42.447475,1061600
2017-10-17,43.049999,43.450001,42.980000,43.439999,42.762486,985000
2017-10-18,43.320000,43.450001,43.130001,43.380001,42.703423,1014000
2017-10-19,43.500000,43.889999,43.450001,43.849998,43.166088,939900
2017-10-20,43.790001,43.970001,43.639999,43.869999,43.185776,871600
2017-10-23,43.869999,43.950001,43.720001,43.770000,43.087337,783800
2017-10-24,43.740002,43.830002,43.360001,43.480000,42.801861,1167800
2017-10-25,43.389999,43.430000,42.720001,43.250000,42.575447,1438800
2017-10-26,43.430000,43.759998,43.310001,43.380001,42.703423,1020500
2017-10-27,43.310001,43.790001,43.200001,43.750000,43.067650,914300
2017-10-30,43.360001,43.639999,43.080002,43.180000,42.814808,1277800
2017-10-31,43.139999,43.389999,43.060001,43.259998,42.894127,1404900
2017-11-01,43.240002,43.349998,42.900002,43.070000,42.705734,1454500
2017-11-02,43.119999,43.590000,42.980000,43.060001,42.695824,2169200
2017-11-03,43.000000,44.389999,42.880001,43.830002,43.459309,2344900
2017-11-06,43.779999,43.919998,43.529999,43.590000,43.221340,1337200
2017-11-07,43.689999,44.209999,43.509998,44.169998,43.796432,1063400
2017-11-08,44.070000,44.290001,43.689999,44.070000,43.697277,1296300
2017-11-09,43.849998,44.180000,43.810001,44.099998,43.727024,902500
2017-11-10,43.939999,43.990002,43.660000,43.680000,43.310577,1485500
2017-11-13,43.689999,44.310001,43.689999,44.299999,43.925331,1757800
2017-11-14,44.220001,45.230000,44.209999,45.180000,44.797890,1523200
2017-11-15,45.299999,45.549999,44.639999,44.709999,44.331863,1386000
2017-11-16,44.660000,44.750000,44.459999,44.630001,44.252544,1204400
2017-11-17,44.509998,44.709999,44.169998,44.400002,44.024490,3561100
2017-11-20,44.430000,44.490002,44.130001,44.259998,43.885670,1220300
2017-11-21,44.310001,44.400002,44.040001,44.150002,43.776604,1291000
2017-11-22,44.130001,44.330002,44.009998,44.189999,43.816261,949800
2017-11-24,44.220001,44.410000,44.150002,44.220001,43.846012,339700
2017-11-27,44.330002,44.639999,44.110001,44.610001,44.232712,934100
2017-11-28,44.669998,44.849998,44.299999,44.779999,44.401272,959600
2017-11-29,44.750000,45.310001,44.630001,44.900002,44.520260,1131400
2017-11-30,44.939999,45.230000,44.869999,45.110001,44.728485,2355200
2017-12-01,45.259998,45.380001,44.529999,44.830002,44.450851,1500200
2017-12-04,45.029999,45.220001,44.610001,44.689999,44.312035,963400
2017-12-05,44.759998,44.790001,43.959999,44.340000,43.964996,1260200
2017-12-06,44.380001,44.689999,44.299999,44.540001,44.163303,1374800
