Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,28.180000,28.530001,28.100000,28.459999,28.081572,7262800
2017-04-21,28.559999,28.610001,28.200001,28.410000,28.032238,6541300
2017-04-24,28.629999,29.129999,28.570000,29.000000,28.614393,14538400
2017-04-25,29.219999,29.580000,29.160000,29.350000,28.959740,12104600
2017-04-26,29.670000,30.049999,29.320000,29.790001,29.393890,19013700
2017-04-27,30.170000,31.150000,29.590000,31.010000,30.597666,17187400
2017-04-28,31.280001,31.320000,30.700001,30.709999,30.301655,8241300
2017-05-01,30.790001,31.150000,30.680000,30.969999,30.558199,5676000
2017-05-02,31.000000,31.150000,30.889999,30.959999,30.548332,5818600
2017-05-03,30.950001,31.150000,30.799999,31.110001,30.696337,5488800
2017-05-04,31.020000,31.100000,30.670000,30.719999,30.311522,5636300
2017-05-05,30.450001,31.030001,30.410000,30.850000,30.439795,4779800
2017-05-08,30.510000,30.610001,30.190001,30.420000,30.015511,8541000
2017-05-09,30.610001,31.080000,30.410000,30.959999,30.548332,6157400
2017-05-10,30.920000,31.290001,30.690001,31.230000,30.814739,6476700
2017-05-11,31.090000,31.200001,30.690001,30.980000,30.568068,5609100
2017-05-12,30.840000,31.200001,30.840000,31.150000,30.735806,5620000
2017-05-15,31.170000,31.700001,31.110001,31.680000,31.258759,8031100
2017-05-16,31.770000,32.279999,31.610001,32.200001,31.771845,8987300
2017-05-17,31.719999,31.950001,31.090000,31.150000,30.735806,9034600
2017-05-18,30.600000,31.290001,30.500000,30.959999,30.548332,7042500
2017-05-19,31.180000,31.709999,31.120001,31.250000,30.834476,5673800
2017-05-22,31.500000,31.930000,31.420000,31.570000,31.150221,10627300
2017-05-23,31.680000,31.760000,31.270000,31.299999,30.883810,7750100
2017-05-24,31.180000,31.420000,31.059999,31.190001,30.775274,5507100
2017-05-25,31.230000,31.680000,31.230000,31.600000,31.179823,5476700
2017-05-26,31.570000,31.959999,31.530001,31.820000,31.396894,3612100
2017-05-30,31.799999,32.080002,31.750000,31.870001,31.446232,4934600
2017-05-31,32.000000,32.040001,31.360001,31.719999,31.298223,5797200
2017-06-01,32.049999,32.549999,32.000000,32.259998,31.831043,6969700
2017-06-02,32.419998,32.750000,32.130001,32.520000,32.087585,6195900
2017-06-05,32.490002,32.500000,32.080002,32.189999,31.761974,7141300
2017-06-06,32.189999,32.599998,32.020000,32.490002,32.057987,6021100
2017-06-07,32.439999,32.880001,32.139999,32.759998,32.434208,7207200
2017-06-08,32.720001,32.930000,32.470001,32.770000,32.444111,3617800
2017-06-09,32.750000,32.910000,31.629999,31.980000,31.661966,5333600
2017-06-12,31.799999,31.809999,30.820000,31.590000,31.275845,11444700
2017-06-13,31.850000,32.369999,31.840000,32.090000,31.770870,4664400
2017-06-14,32.349998,32.520000,32.020000,32.349998,32.028286,5144100
2017-06-15,32.049999,32.590000,31.840000,32.580002,32.256001,6187400
2017-06-16,32.590000,32.770000,32.419998,32.610001,32.285702,5030200
2017-06-19,32.840000,33.230000,32.689999,33.150002,32.820332,7399500
2017-06-20,33.220001,33.360001,32.830002,33.180000,32.850029,4903700
2017-06-21,33.279999,33.349998,32.840000,32.959999,32.632217,3174000
2017-06-22,32.910000,33.400002,32.900002,33.250000,32.919334,3167700
2017-06-23,33.349998,34.169998,33.240002,34.160000,33.820282,7787300
2017-06-26,34.189999,34.340000,33.639999,33.849998,33.513367,7751600
2017-06-27,33.910000,34.310001,33.730000,33.730000,33.394562,8727000
2017-06-28,33.889999,34.000000,33.349998,33.700001,33.364861,7730700
2017-06-29,33.700001,33.779999,32.619999,32.889999,32.562912,7166700
2017-06-30,31.940001,32.090000,31.160000,31.290001,30.978828,17920600
2017-07-03,31.020000,31.320000,30.430000,30.559999,30.256086,7346800
2017-07-05,30.660000,31.000000,30.309999,30.980000,30.671911,7558800
2017-07-06,30.850000,30.910000,30.260000,30.299999,29.998671,5158400
2017-07-07,30.320000,30.930000,30.200001,30.840000,30.533302,5802500
2017-07-10,30.830000,31.400000,30.690001,31.180000,30.869921,5192700
2017-07-11,31.340000,31.620001,31.250000,31.430000,31.117435,6192400
2017-07-12,31.660000,31.809999,31.469999,31.740000,31.424351,3825500
2017-07-13,31.850000,31.940001,31.469999,31.930000,31.612463,4893700
2017-07-14,31.309999,31.959999,31.090000,31.910000,31.592661,7421800
2017-07-17,31.879999,32.020000,31.670000,31.850000,31.533260,4302700
2017-07-18,31.860001,32.740002,31.799999,32.549999,32.226295,6066500
2017-07-19,32.549999,32.799999,32.310001,32.790001,32.463913,8178300
2017-07-20,33.500000,33.990002,33.139999,33.730000,33.394562,27562400
2017-07-21,33.770000,34.209999,33.770000,34.029999,33.691574,18635000
2017-07-24,34.110001,34.459999,33.980000,33.990002,33.651978,15300100
2017-07-25,34.080002,34.529999,32.639999,34.270000,33.929195,90098200
2017-07-26,34.110001,34.270000,33.619999,33.869999,33.533165,20998800
2017-07-27,33.799999,34.169998,32.310001,33.389999,33.057941,25694200
2017-07-28,33.320000,33.880001,33.040001,33.139999,32.810429,8643400
2017-07-31,33.110001,33.520000,32.930000,32.930000,32.602520,8291300
2017-08-01,32.849998,33.110001,32.400002,32.410000,32.087688,12131200
2017-08-02,32.419998,32.480000,31.680000,31.980000,31.661966,9431400
2017-08-03,31.990000,32.169998,31.500000,31.559999,31.246143,10252400
2017-08-04,31.590000,32.119999,31.590000,31.790001,31.473854,6720600
2017-08-07,31.930000,32.150002,31.719999,31.860001,31.543161,5745400
2017-08-08,31.860001,32.020000,31.430000,31.549999,31.236242,6571400
2017-08-09,31.360001,31.670000,31.219999,31.490000,31.176836,6862600
2017-08-10,31.219999,31.400000,30.500000,30.510000,30.206583,6909800
2017-08-11,30.500000,30.840000,30.379999,30.590000,30.285788,5399700
2017-08-14,30.940001,31.200001,30.799999,30.990000,30.681812,5792000
2017-08-15,31.120001,31.660000,30.719999,31.590000,31.275845,7768200
2017-08-16,31.719999,31.719999,30.930000,31.299999,30.988728,5837200
2017-08-17,31.180000,31.480000,30.500000,30.510000,30.206583,6566400
2017-08-18,30.459999,30.959999,30.040001,30.709999,30.404594,6375900
2017-08-21,30.799999,31.180000,30.430000,31.110001,30.800619,6480900
2017-08-22,31.400000,31.959999,31.250000,31.600000,31.285746,5748900
2017-08-23,31.260000,31.559999,31.049999,31.320000,31.008530,6176600
2017-08-24,31.389999,31.709999,31.209999,31.549999,31.236242,3451500
2017-08-25,31.600000,31.920000,31.420000,31.830000,31.513456,4741400
2017-08-28,31.820000,31.950001,31.250000,31.690001,31.374851,5722500
2017-08-29,31.520000,32.150002,31.459999,32.040001,31.721369,3862700
2017-08-30,32.049999,32.139999,31.530001,32.119999,31.800573,5344900
2017-08-31,32.250000,33.000000,32.110001,32.959999,32.632217,10560800
2017-09-01,33.160000,33.459999,32.980000,33.209999,32.879730,5281500
2017-09-05,33.150002,33.380001,32.840000,33.139999,32.810429,9708400
2017-09-06,33.430000,33.980000,33.279999,33.770000,33.434166,9355300
2017-09-07,33.770000,34.650002,33.770000,33.990002,33.651978,11712600
2017-09-08,33.900002,33.919998,32.959999,33.250000,33.026218,8154100
2017-09-11,32.980000,33.340000,32.049999,33.080002,32.857361,12209100
2017-09-12,33.090000,33.299999,32.180000,32.750000,32.529579,10527400
2017-09-13,32.709999,32.889999,32.400002,32.590000,32.370659,6343000
2017-09-14,32.750000,32.770000,31.719999,32.060001,31.844227,9834600
2017-09-15,32.000000,32.099998,31.709999,31.920000,31.705166,13413600
2017-09-18,32.049999,32.529999,31.629999,31.680000,31.466784,8663700
2017-09-19,31.809999,32.669998,31.760000,32.560001,32.340862,8376700
2017-09-20,32.560001,33.130001,32.220001,33.080002,32.857361,10057500
2017-09-21,33.090000,33.439999,32.990002,33.060001,32.837494,5732900
2017-09-22,32.970001,33.009998,32.360001,32.380001,32.162071,3937000
2017-09-25,32.220001,32.320000,31.809999,31.940001,31.725033,5096000
2017-09-26,32.090000,32.320000,31.930000,32.160000,31.943554,3460300
2017-09-27,32.389999,32.700001,32.240002,32.459999,32.241531,5676900
2017-09-28,32.360001,32.730000,32.209999,32.340000,32.122341,5023100
2017-09-29,32.340000,32.740002,32.139999,32.590000,32.370659,5414300
2017-10-02,31.350000,32.000000,30.700001,30.770000,30.562908,37692800
2017-10-03,30.889999,30.930000,30.360001,30.850000,30.642368,23273800
