Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,62.660000,62.750000,62.250000,62.549999,60.597664,8962300
2017-04-21,62.360001,62.630001,61.869999,61.889999,59.958267,10498400
2017-04-24,62.500000,62.520000,62.020000,62.139999,60.200466,8846300
2017-04-25,62.490002,62.930000,62.250000,62.299999,60.355465,10691800
2017-04-26,62.630001,62.880001,62.430000,62.700001,60.742985,8859300
2017-04-27,62.779999,62.910000,62.450001,62.580002,60.626732,6603300
2017-04-28,62.580002,62.650002,62.139999,62.330002,60.384533,9419200
2017-05-01,62.250000,62.500000,62.099998,62.380001,60.432972,10217100
2017-05-02,62.509998,63.240002,62.310001,62.700001,60.742985,13022500
2017-05-03,62.500000,63.669998,62.380001,63.630001,61.643959,11429800
2017-05-04,63.669998,63.889999,63.220001,63.380001,61.401764,8610000
2017-05-05,63.500000,64.089996,63.430000,63.970001,61.973347,9346600
2017-05-08,63.910000,64.510002,63.830002,64.010002,62.012100,11149500
2017-05-09,64.180000,64.269997,63.160000,63.290001,61.314564,10222300
2017-05-10,63.130001,63.950001,63.090000,63.939999,61.944275,9631800
2017-05-11,64.750000,65.250000,64.309998,64.430000,62.418991,18515900
2017-05-12,64.389999,64.669998,63.270000,63.570000,61.585831,10342100
2017-05-15,63.419998,63.599998,63.340000,63.509998,61.527702,8311400
2017-05-16,63.439999,63.869999,63.139999,63.790001,61.798962,7870700
2017-05-17,63.790001,63.790001,62.880001,63.000000,61.033623,7916900
2017-05-18,62.910000,64.500000,62.910000,63.889999,61.895840,11954500
2017-05-19,64.040001,64.040001,63.500000,63.779999,61.789276,9293700
2017-05-22,63.700001,64.440002,63.570000,64.040001,62.041161,6226500
2017-05-23,64.000000,64.589996,64.000000,64.550003,62.535240,5734600
2017-05-24,64.769997,65.199997,64.540001,64.930000,62.903385,6955400
2017-05-25,64.959999,65.120003,64.660004,65.040001,63.009953,7095900
2017-05-26,65.000000,65.209999,64.820000,64.919998,62.893688,3685700
2017-05-30,64.720001,65.139999,64.529999,64.879997,62.854942,4885600
2017-05-31,65.080002,65.489998,65.029999,65.110001,63.077766,7788300
2017-06-01,65.089996,65.260002,64.860001,65.260002,63.223083,7560500
2017-06-02,65.459999,65.580002,65.180000,65.470001,63.426525,6298600
2017-06-05,65.349998,65.389999,64.699997,65.070000,63.039009,5968500
2017-06-06,65.000000,65.040001,64.459999,64.669998,62.651493,7841800
2017-06-07,64.599998,64.650002,64.000000,64.059998,62.060535,7606600
2017-06-08,64.059998,64.250000,62.830002,63.200001,61.227379,18435200
2017-06-09,63.200001,64.440002,63.139999,64.389999,62.380238,10750400
2017-06-12,64.389999,64.680000,64.199997,64.389999,62.380238,9400300
2017-06-13,63.730000,63.840000,63.029999,63.270000,61.745895,12053000
2017-06-14,63.020000,63.639999,63.020000,63.369999,61.843483,10338600
2017-06-15,63.299999,63.439999,62.880001,63.189999,61.667820,7866800
2017-06-16,63.259998,63.709999,62.689999,62.970001,61.453121,14902000
2017-06-19,63.090000,63.810001,63.020000,63.680000,62.146015,8426900
2017-06-20,63.680000,64.959999,63.580002,64.529999,62.975540,10263000
2017-06-21,64.559998,65.599998,64.559998,65.459999,63.883141,11145000
2017-06-22,65.510002,66.370003,65.379997,66.019997,64.429642,13441900
2017-06-23,66.040001,66.389999,65.839996,66.160004,64.566277,14093500
2017-06-26,66.150002,66.400002,65.830002,65.919998,64.332054,7576400
2017-06-27,66.269997,66.269997,65.540001,65.540001,63.961212,8121600
2017-06-28,65.760002,65.900002,65.139999,65.160004,63.590366,6733300
