Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,61.860001,62.099998,61.540001,62.070000,59.248306,1328500
2017-04-21,61.939999,62.099998,61.709999,61.750000,58.942848,1183600
2017-04-24,61.840000,62.000000,59.759998,60.080002,57.348763,2854700
2017-04-25,60.200001,60.200001,59.599998,59.830002,57.110142,1862900
2017-04-26,59.869999,59.939999,58.840000,59.209999,56.518326,1824200
2017-04-27,59.000000,59.730000,58.950001,59.450001,56.950359,1435700
2017-04-28,59.360001,59.360001,58.290001,58.349998,55.896606,1485200
2017-05-01,58.500000,59.150002,58.070000,58.820000,56.346844,1499500
2017-05-02,58.939999,59.389999,58.849998,59.040001,56.557598,1562600
2017-05-03,59.160000,59.220001,57.599998,57.830002,55.398472,1813100
2017-05-04,57.540001,57.540001,54.919998,55.779999,53.434662,5064400
2017-05-05,56.009998,56.720001,55.799999,56.619999,54.239353,2056300
2017-05-08,56.840000,57.070000,55.529999,55.680000,53.338871,2409600
2017-05-09,55.750000,55.910000,54.509998,54.959999,52.649151,2434200
2017-05-10,55.099998,56.139999,54.970001,55.580002,53.243073,2783300
2017-05-11,55.279999,55.320000,54.090000,54.439999,52.151012,2557700
2017-05-12,54.529999,54.959999,54.470001,54.730000,52.428814,1704700
2017-05-15,54.750000,55.439999,54.270000,54.299999,52.016895,2096200
2017-05-16,54.330002,54.619999,52.849998,53.209999,50.972729,3003400
2017-05-17,53.330002,54.020000,53.000000,53.759998,51.499603,2394900
2017-05-18,53.709999,54.060001,53.299999,53.820000,51.557083,2143200
2017-05-19,53.869999,54.410000,53.330002,54.200001,51.921101,1872000
2017-05-22,54.270000,54.919998,54.070000,54.130001,51.854042,1656000
2017-05-23,54.139999,54.549999,53.950001,54.139999,51.863621,1502000
2017-05-24,54.230000,54.849998,54.169998,54.660000,52.361759,1391000
2017-05-25,54.750000,55.430000,54.689999,55.150002,52.831154,1579800
2017-05-26,55.160000,55.700001,54.990002,55.180000,52.859901,2049200
2017-05-30,55.090000,55.520000,54.950001,55.000000,52.889709,1450200
2017-05-31,55.000000,55.419998,54.799999,54.930000,52.822392,1646500
2017-06-01,54.910000,55.700001,54.529999,55.540001,53.408985,1698700
2017-06-02,55.950001,56.750000,55.950001,56.580002,54.409088,2351600
2017-06-05,56.369999,56.439999,55.200001,55.369999,53.245514,1630400
2017-06-06,55.369999,55.709999,54.910000,55.419998,53.293591,1568800
2017-06-07,55.419998,55.939999,55.299999,55.619999,53.485912,1615400
2017-06-08,55.619999,55.869999,54.799999,54.889999,52.783932,2003800
2017-06-09,54.860001,55.459999,54.259998,55.310001,53.187813,1726700
2017-06-12,55.459999,56.209999,55.340000,56.139999,53.985958,1379000
2017-06-13,56.020000,56.430000,55.799999,56.279999,54.120586,1026900
2017-06-14,56.820000,57.099998,56.490002,56.950001,54.764889,1465200
2017-06-15,56.619999,57.240002,56.470001,56.910000,54.726418,1227600
2017-06-16,57.080002,57.119999,56.240002,56.669998,54.495628,2831800
2017-06-19,56.669998,56.740002,55.950001,56.220001,54.062897,1803000
2017-06-20,56.180000,56.369999,55.900002,56.169998,54.014812,2455500
2017-06-21,56.209999,56.320000,55.090000,55.419998,53.293591,2212500
2017-06-22,55.299999,55.410000,54.660000,54.820000,52.716614,2008900
2017-06-23,54.830002,55.349998,54.750000,55.279999,53.158962,2428100
2017-06-26,55.610001,57.290001,55.610001,56.480000,54.312920,2400300
2017-06-27,56.380001,56.459999,55.750000,55.990002,53.841721,1922400
2017-06-28,56.130001,56.970001,55.900002,56.810001,54.630260,1526200
2017-06-29,56.389999,56.450001,55.439999,55.770000,53.830570,1627800
2017-06-30,55.930000,56.169998,54.950001,55.180000,53.261097,1449800
2017-07-03,55.380001,56.279999,55.380001,56.049999,54.100830,1030200
2017-07-05,56.009998,56.200001,54.959999,55.209999,53.290047,1586200
2017-07-06,55.009998,55.200001,54.130001,54.130001,52.247601,1596400
2017-07-07,54.279999,54.709999,53.939999,54.689999,52.788124,1048100
2017-07-10,54.720001,54.750000,53.590000,53.599998,51.736027,1701400
2017-07-11,53.830002,54.099998,53.340000,53.889999,52.015949,1181600
2017-07-12,54.299999,55.099998,54.270000,54.669998,52.768822,1372600
2017-07-13,54.750000,55.209999,54.560001,55.130001,53.212830,948500
2017-07-14,55.389999,56.369999,55.389999,56.250000,54.293880,1594000
2017-07-17,56.200001,56.689999,56.099998,56.480000,54.515881,1388800
2017-07-18,56.669998,56.939999,56.459999,56.580002,54.612404,1160400
2017-07-19,56.599998,57.299999,56.480000,57.160000,55.172230,980200
2017-07-20,57.240002,57.830002,57.040001,57.320000,55.326675,1013400
2017-07-21,57.400002,57.580002,56.820000,57.310001,55.317017,859300
2017-07-24,57.299999,57.400002,56.680000,57.169998,55.181885,1379600
2017-07-25,57.029999,57.490002,56.650002,57.430000,55.432842,1632600
2017-07-26,57.410000,57.970001,57.259998,57.919998,55.905804,1545700
2017-07-27,57.830002,58.470001,57.200001,57.950001,55.934761,2026900
2017-07-28,57.889999,58.189999,57.110001,57.200001,55.413086,1418700
2017-07-31,57.209999,57.320000,56.740002,57.060001,55.277462,3396000
2017-08-01,57.180000,57.910000,56.970001,57.740002,55.936214,1877400
2017-08-02,57.580002,57.580002,56.730000,57.099998,55.316212,1186600
2017-08-03,56.910000,57.200001,56.709999,57.040001,55.258087,959300
2017-08-04,56.830002,57.500000,56.759998,57.450001,55.655277,1694500
2017-08-07,57.450001,57.660000,56.990002,57.450001,55.655277,998200
2017-08-08,57.270000,57.619999,56.930000,57.299999,55.509964,1202100
2017-08-09,57.290001,57.830002,56.900002,57.480000,55.684341,1640600
2017-08-10,57.480000,57.570000,57.020000,57.020000,55.238705,965000
2017-08-11,56.830002,57.020000,56.240002,56.480000,54.715580,1274600
2017-08-14,56.740002,57.599998,56.430000,57.320000,55.529339,1488300
2017-08-15,57.049999,57.160000,56.360001,56.970001,55.190269,2152800
2017-08-16,57.070000,57.980000,57.020000,57.610001,55.810280,2132700
2017-08-17,57.619999,57.770000,57.169998,57.189999,55.403393,1564600
2017-08-18,57.119999,57.169998,56.560001,56.849998,55.074017,1444600
2017-08-21,56.939999,58.040001,56.799999,57.880001,56.071842,1571400
2017-08-22,57.799999,57.959999,57.180000,57.380001,55.587467,1053000
2017-08-23,57.410000,58.130001,57.220001,58.099998,56.284966,955100
2017-08-24,58.189999,58.450001,57.470001,57.500000,55.703712,1006800
2017-08-25,57.799999,58.369999,57.580002,58.040001,56.226841,913400
2017-08-28,58.020000,58.070000,57.090000,57.209999,55.422768,1031800
2017-08-29,57.480000,57.680000,57.000000,57.139999,55.354958,1088500
2017-08-30,56.889999,57.020000,56.570000,56.919998,55.346699,1221800
2017-08-31,57.099998,57.820000,57.009998,57.560001,55.969009,2771700
2017-09-01,57.520000,58.290001,57.419998,57.860001,56.260712,1093400
2017-09-05,58.209999,58.380001,57.820000,58.320000,56.707989,1855600
2017-09-06,58.360001,59.310001,58.139999,58.180000,56.571865,2450000
2017-09-07,58.459999,59.020000,58.180000,58.709999,57.087215,1146500
2017-09-08,58.810001,59.740002,58.610001,59.330002,57.690083,1265500
2017-09-11,59.590000,60.049999,59.240002,59.450001,57.806763,1193200
2017-09-12,59.330002,59.919998,58.779999,58.919998,57.291412,1270100
2017-09-13,59.049999,59.189999,58.450001,58.790001,57.165009,1332300
