Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,62.490002,63.230000,62.270000,62.919998,61.049221,1169000
2017-04-21,62.900002,63.189999,62.599998,62.810001,60.942493,736000
2017-04-24,64.349998,64.419998,63.680000,63.919998,62.019489,1244900
2017-04-25,64.500000,64.809998,64.290001,64.349998,62.436703,1166900
2017-04-26,64.320000,64.730003,64.239998,64.309998,62.397888,1010400
2017-04-27,64.489998,65.250000,64.459999,65.180000,63.242023,1463300
2017-04-28,64.410004,65.559998,63.720001,65.129997,63.193520,1440600
2017-05-01,65.669998,65.669998,64.610001,64.970001,63.038269,1452900
2017-05-02,65.019997,65.099998,64.389999,64.910004,62.980057,850800
2017-05-03,64.769997,65.120003,64.629997,64.900002,62.970352,1357100
2017-05-04,65.250000,65.449997,64.360001,64.430000,62.514328,1425900
2017-05-05,64.660004,64.760002,64.129997,64.339996,62.426998,882300
2017-05-08,64.370003,64.540001,63.750000,63.950001,62.048595,1092200
2017-05-09,64.070000,64.330002,63.240002,63.459999,61.573166,1052000
2017-05-10,63.340000,63.919998,63.139999,63.860001,61.961277,1228100
2017-05-11,63.660000,63.900002,62.849998,63.540001,61.650791,1078700
2017-05-12,63.150002,63.619999,62.840000,63.000000,61.126846,840400
2017-05-15,63.250000,63.860001,63.080002,63.709999,61.815731,1358100
2017-05-16,63.849998,64.089996,63.430000,63.980000,62.077702,1014700
2017-05-17,63.980000,63.980000,61.330002,61.400002,59.574417,1297900
2017-05-18,60.990002,61.189999,60.349998,60.549999,58.749687,2002900
2017-05-19,60.680000,61.090000,60.549999,60.830002,59.021366,2922200
2017-05-22,61.230000,61.930000,60.910000,61.430000,59.603523,1330900
2017-05-23,61.490002,61.980000,61.080002,61.709999,59.875198,1409600
2017-05-24,61.790001,61.990002,61.450001,61.959999,60.117767,1032300
2017-05-25,62.150002,62.759998,62.000000,62.660000,60.796947,1324100
2017-05-26,62.480000,63.119999,62.480000,62.750000,60.884277,1045400
2017-05-30,62.549999,62.709999,62.110001,62.520000,60.661121,671900
2017-05-31,62.650002,62.950001,62.000000,62.910000,61.039520,1536800
2017-06-01,62.750000,64.080002,62.430000,64.080002,62.632710,1002800
2017-06-02,63.709999,64.190002,63.400002,63.959999,62.515419,886600
2017-06-05,63.910000,64.059998,63.209999,63.290001,61.860550,899400
2017-06-06,62.779999,62.930000,62.020000,62.070000,60.668106,1145600
2017-06-07,62.240002,62.680000,61.950001,62.410000,61.000427,906500
2017-06-08,62.410000,64.180000,62.400002,63.630001,62.192871,1564400
2017-06-09,63.950001,64.989998,63.950001,64.910004,63.443962,1025300
2017-06-12,64.720001,65.309998,64.720001,64.970001,63.502605,1245100
2017-06-13,65.120003,65.860001,64.980003,65.540001,64.059738,1058200
2017-06-14,65.050003,65.480003,64.430000,65.360001,63.883797,1122800
2017-06-15,64.739998,65.220001,64.639999,65.199997,63.727409,1234500
2017-06-16,65.320000,65.519997,65.059998,65.349998,63.874023,1649300
2017-06-19,65.779999,66.120003,65.500000,65.879997,64.392052,838000
2017-06-20,65.639999,65.739998,64.980003,65.019997,63.551479,866300
2017-06-21,65.139999,65.139999,63.790001,63.860001,62.417679,1000700
2017-06-22,63.480000,63.480000,62.310001,62.689999,61.274097,1397100
2017-06-23,62.910000,63.080002,62.400002,62.580002,61.166588,1761500
2017-06-26,62.849998,63.490002,62.610001,63.060001,61.635746,863100
2017-06-27,63.320000,64.050003,63.099998,63.400002,61.968071,970000
2017-06-28,63.990002,64.820000,63.939999,64.690002,63.228935,928500
2017-06-29,65.540001,65.629997,64.150002,64.529999,63.072540,1383300
2017-06-30,64.860001,65.000000,64.059998,64.070000,62.622932,1376200
2017-07-03,64.570000,65.330002,64.389999,64.760002,63.297348,752700
2017-07-05,64.800003,64.849998,64.169998,64.250000,62.798866,1589800
2017-07-06,64.279999,64.820000,63.930000,64.120003,62.671806,1624500
2017-07-07,64.379997,64.900002,64.169998,64.610001,63.150738,1270200
2017-07-10,64.570000,65.570000,64.459999,65.360001,63.883797,1101900
2017-07-11,65.419998,65.680000,64.930000,65.160004,63.688320,743500
2017-07-12,65.269997,65.540001,65.099998,65.510002,64.030411,717900
2017-07-13,65.580002,66.050003,65.430000,65.949997,64.460472,795100
2017-07-14,65.360001,66.309998,65.190002,66.099998,64.607086,806500
2017-07-17,65.989998,66.470001,65.610001,66.339996,64.841660,1097400
2017-07-18,65.949997,66.570000,65.879997,66.410004,64.910080,520900
2017-07-19,66.489998,66.949997,66.230003,66.699997,65.193527,859400
2017-07-20,66.809998,66.870003,65.860001,65.889999,64.401825,1029400
2017-07-21,65.790001,66.459999,65.790001,66.419998,64.919853,681700
2017-07-24,66.279999,66.620003,66.129997,66.379997,64.880760,676600
2017-07-25,67.000000,67.500000,66.669998,67.160004,65.643143,880900
2017-07-26,67.260002,67.279999,66.449997,66.660004,65.154442,648300
2017-07-27,66.919998,67.370003,66.230003,66.629997,65.125107,810600
2017-07-28,67.110001,67.580002,65.459999,67.370003,65.848404,1095000
2017-07-31,67.730003,67.730003,66.739998,66.750000,65.242401,1243100
2017-08-01,67.120003,67.120003,66.190002,66.720001,65.213081,1241200
