Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,96.320000,97.980003,96.320000,97.209999,94.939156,1744600
2017-04-21,96.970001,97.830002,96.900002,97.330002,95.056358,1025000
2017-04-24,98.849998,99.489998,96.910004,97.440002,95.163780,1783100
2017-04-25,98.150002,99.440002,97.839996,99.150002,96.833832,1463300
2017-04-26,99.269997,100.919998,99.139999,100.470001,98.123001,1328900
2017-04-27,100.839996,102.680000,100.309998,100.500000,98.152298,3007300
2017-04-28,106.320000,110.599998,105.419998,106.599998,104.109810,6709000
2017-05-01,106.800003,110.320000,106.080002,108.410004,105.877525,3561200
2017-05-02,108.730003,108.949997,106.459999,108.070000,105.545456,2139100
2017-05-03,107.980003,108.250000,107.129997,108.099998,105.574760,1280000
2017-05-04,108.440002,108.910004,107.470001,107.919998,105.398956,2416600
2017-05-05,108.360001,108.919998,107.860001,108.620003,106.082611,886400
2017-05-08,108.349998,109.000000,107.690002,107.970001,105.447807,865000
2017-05-09,108.220001,109.160004,108.150002,108.820000,106.277946,879200
2017-05-10,108.879997,108.879997,107.550003,108.339996,105.809151,1196800
2017-05-11,108.000000,108.330002,106.680000,108.260002,105.731026,985700
2017-05-12,108.129997,108.559998,107.260002,107.570000,105.057144,1079300
2017-05-15,107.309998,108.160004,106.970001,108.120003,105.594307,1005800
2017-05-16,108.389999,108.389999,107.099998,107.339996,104.832512,786900
2017-05-17,107.339996,107.339996,103.519997,103.650002,101.228714,1677200
2017-05-18,104.010002,105.970001,103.739998,104.980003,102.527649,1087900
2017-05-19,105.760002,106.870003,105.050003,106.150002,103.670319,1144300
2017-05-22,106.190002,107.349998,105.610001,107.209999,104.705551,940100
2017-05-23,107.089996,108.040001,106.480003,107.139999,104.637184,1003500
2017-05-24,107.459999,108.370003,106.919998,108.180000,105.652901,856600
2017-05-25,109.129997,111.000000,108.580002,110.260002,107.684311,1672300
2017-05-26,110.010002,111.449997,110.000000,111.080002,108.485153,1090800
2017-05-30,110.970001,111.139999,110.070000,110.430000,107.850334,1184000
2017-05-31,110.449997,111.050003,109.750000,110.180000,108.075943,1774400
2017-06-01,110.610001,112.949997,110.290001,112.750000,111.080780,1430600
2017-06-02,113.250000,114.500000,113.220001,113.379997,111.701462,1086000
2017-06-05,113.110001,113.250000,112.050003,112.059998,110.401001,917300
2017-06-06,111.769997,112.309998,110.830002,110.849998,109.208908,1522600
2017-06-07,111.470001,112.620003,110.389999,112.150002,110.489670,1273300
2017-06-08,112.150002,113.699997,111.779999,112.820000,111.149750,1033300
2017-06-09,112.879997,113.529999,108.860001,109.820000,108.194168,1634300
2017-06-12,109.669998,110.000000,106.660004,109.900002,108.272987,2041500
2017-06-13,111.190002,112.610001,110.639999,110.830002,109.189209,1544000
2017-06-14,112.000000,112.820000,110.730003,111.639999,109.987221,1351300
2017-06-15,110.489998,112.129997,109.559998,112.070000,110.410858,1432300
2017-06-16,111.589996,112.349998,110.730003,111.900002,110.243370,1480300
2017-06-19,112.489998,113.449997,112.309998,113.300003,111.622650,1128800
2017-06-20,113.379997,113.680000,111.580002,111.669998,110.016777,753300
2017-06-21,112.000000,114.339996,112.000000,113.910004,112.223625,1605200
2017-06-22,113.820000,115.629997,112.089996,112.150002,110.489670,1717000
2017-06-23,112.169998,112.360001,110.839996,111.860001,110.203964,1593200
2017-06-26,111.919998,112.760002,111.209999,111.330002,109.681808,939000
2017-06-27,111.330002,111.519997,108.809998,108.889999,107.277939,1275500
2017-06-28,109.769997,110.949997,109.769997,110.750000,109.110397,1224500
2017-06-29,110.650002,110.820000,107.870003,109.269997,107.652298,1032000
2017-06-30,109.430000,109.839996,108.419998,109.230003,107.612900,1137700
2017-07-03,109.709999,111.220001,108.820000,108.839996,107.228676,723800
2017-07-05,109.019997,111.099998,109.000000,110.639999,109.002029,1135400
2017-07-06,109.769997,109.769997,108.129997,108.570000,106.962677,992100
2017-07-07,108.980003,110.000000,108.580002,109.199997,107.583344,930200
2017-07-10,109.300003,109.680000,108.889999,109.190002,107.573494,730400
2017-07-11,109.139999,109.389999,107.790001,109.260002,107.642456,953600
2017-07-12,109.730003,110.379997,109.599998,110.019997,108.391197,1060500
2017-07-13,110.089996,110.309998,108.849998,109.550003,107.928169,795400
2017-07-14,109.300003,109.870003,108.489998,108.889999,107.277939,881900
2017-07-17,108.900002,111.970001,108.650002,111.489998,109.839439,1496500
2017-07-18,111.269997,112.290001,110.800003,111.849998,110.194107,872100
2017-07-19,112.040001,112.599998,111.610001,112.559998,110.893593,1166100
2017-07-20,113.730003,116.360001,113.730003,115.260002,113.553627,1890500
2017-07-21,115.000000,116.199997,114.769997,114.910004,113.208817,1467900
2017-07-24,114.650002,116.279999,114.529999,115.739998,114.026520,1425800
2017-07-25,116.500000,116.889999,114.629997,114.919998,113.218666,1137600
2017-07-26,115.279999,115.440002,114.250000,114.449997,112.755623,811100
2017-07-27,115.059998,115.139999,112.320000,113.290001,111.612793,1132300
2017-07-28,112.610001,113.739998,112.190002,113.389999,111.711319,899900
2017-07-31,114.190002,114.989998,112.870003,113.070000,111.396057,1709400
2017-08-01,117.980003,120.000000,116.209999,116.870003,115.139793,3280400
2017-08-02,117.639999,117.680000,114.660004,117.389999,115.652092,2631500
2017-08-03,117.500000,120.470001,117.000000,119.919998,118.144638,2286900
2017-08-04,119.949997,120.959999,119.360001,119.690002,117.918045,1529100
2017-08-07,120.000000,120.000000,117.629997,117.760002,116.016617,2100600
2017-08-08,117.830002,121.470001,117.800003,119.800003,118.026428,2409100
2017-08-09,118.800003,120.510002,118.059998,120.489998,118.706200,1959800
2017-08-10,119.389999,119.849998,116.379997,117.309998,115.573273,2002600
2017-08-11,116.410004,117.739998,115.449997,117.220001,115.484619,1787400
2017-08-14,118.419998,119.919998,118.000000,119.610001,117.839226,1783100
2017-08-15,120.690002,122.959999,120.400002,121.720001,119.917992,1934700
2017-08-16,122.220001,122.599998,121.110001,121.230003,119.435249,1515200
2017-08-17,121.000000,121.150002,119.120003,119.220001,117.455002,2024100
2017-08-18,119.209999,120.000000,118.370003,118.809998,117.051071,1747300
2017-08-21,119.180000,120.230003,118.910004,119.989998,118.213608,1528100
2017-08-22,120.000000,121.360001,119.879997,121.010002,119.218506,1458400
2017-08-23,120.449997,121.470001,120.449997,120.620003,118.834274,1058500
2017-08-24,121.180000,121.339996,119.970001,120.540001,118.755455,1404900
2017-08-25,120.980003,121.010002,119.949997,120.440002,118.656944,962000
2017-08-28,120.680000,121.699997,120.419998,120.760002,118.972206,1537400
2017-08-29,119.389999,120.470001,118.650002,120.330002,118.548576,1470100
2017-08-30,120.239998,121.730003,119.660004,121.629997,119.829323,1254200
2017-08-31,122.349998,124.510002,122.000000,124.459999,122.617424,1784100
2017-09-01,124.910004,125.000000,123.820000,124.239998,122.400681,1202400
2017-09-05,123.919998,123.919998,117.779999,119.040001,117.277664,2768700
2017-09-06,118.459999,119.559998,117.260002,118.820000,117.060921,2073800
2017-09-07,119.000000,119.879997,117.339996,117.540001,115.799873,1535400
2017-09-08,117.000000,118.699997,115.599998,117.449997,115.711205,2059700
2017-09-11,120.050003,123.330002,120.010002,121.690002,119.888435,2056900
2017-09-12,121.800003,122.239998,120.480003,121.660004,119.858879,1418200
2017-09-13,121.239998,122.339996,120.599998,122.190002,120.381035,1202600
2017-09-14,121.660004,124.760002,121.129997,123.550003,121.720909,2030800
2017-09-15,121.550003,122.230003,119.809998,120.919998,119.129837,2624300
2017-09-18,120.949997,121.089996,118.739998,118.800003,117.041229,1514500
2017-09-19,118.860001,119.019997,117.489998,118.519997,116.765358,1446200
2017-09-20,118.519997,118.570000,114.599998,115.540001,113.829483,2812600
2017-09-21,115.500000,116.750000,114.070000,116.190002,115.067406,2290600
2017-09-22,115.919998,116.339996,114.809998,115.290001,114.176102,1490900
2017-09-25,114.570000,115.099998,113.199997,113.879997,112.779724,2098500
2017-09-26,116.050003,119.489998,115.320000,117.190002,116.057747,2414300
2017-09-27,117.339996,118.529999,115.540001,115.739998,114.621750,1805400
2017-09-28,115.150002,118.540001,115.089996,118.209999,117.067886,2088500
2017-09-29,118.089996,119.349998,116.730003,118.540001,117.394699,1743900
2017-10-02,118.379997,119.220001,117.550003,119.120003,117.969093,1617500
2017-10-03,119.199997,119.639999,117.820000,119.000000,117.850258,1151300
2017-10-04,119.089996,122.300003,119.000000,121.669998,120.494461,1694100
2017-10-05,121.860001,124.230003,121.860001,123.660004,122.465233,1819100
2017-10-06,123.820000,125.000000,122.779999,123.389999,122.197838,1076100
2017-10-09,123.360001,124.639999,122.980003,124.529999,123.326828,1111300
2017-10-10,124.879997,126.070000,124.589996,124.800003,123.594223,1445500
2017-10-11,125.430000,125.860001,124.500000,125.010002,123.802193,1579600
2017-10-12,124.779999,125.680000,124.510002,125.000000,123.792282,1709400
2017-10-13,125.349998,128.089996,125.269997,127.769997,126.535515,1817900
2017-10-16,127.580002,127.919998,126.500000,127.389999,126.159187,1231000
2017-10-17,127.400002,127.660004,127.000000,127.220001,125.990837,1013600
2017-10-18,127.480003,127.580002,124.849998,124.879997,123.673447,1855100
2017-10-19,124.500000,124.650002,121.059998,121.120003,119.949776,2822700
2017-10-20,122.010002,122.699997,120.139999,120.709999,119.543732,1898100
2017-10-23,121.000000,122.879997,120.750000,121.739998,120.563782,1503100
