Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,130.839996,132.190002,130.839996,131.869995,130.446793,985300
2017-04-21,131.899994,132.830002,131.389999,131.520004,130.100586,1274200
2017-04-24,133.289993,134.570007,132.660004,133.899994,132.454880,2049200
2017-04-25,134.389999,136.750000,132.809998,135.610001,134.146454,2012900
2017-04-26,135.970001,136.000000,134.169998,134.229996,132.781326,1110700
2017-04-27,134.669998,135.279999,134.240005,135.089996,133.632065,839300
2017-04-28,134.509995,134.949997,133.949997,134.190002,132.741760,1420600
2017-05-01,134.610001,135.490005,134.119995,135.020004,133.562805,941000
2017-05-02,134.850006,136.119995,134.850006,135.460007,133.998077,955500
2017-05-03,135.080002,135.750000,134.660004,135.360001,133.899139,753100
2017-05-04,135.949997,137.570007,135.520004,136.610001,135.135651,2005800
2017-05-05,136.559998,138.050003,136.320007,137.550003,136.065506,1056300
2017-05-08,137.479996,137.880005,136.429993,136.860001,135.382950,1116500
2017-05-09,136.809998,137.699997,136.809998,137.309998,135.828094,849700
2017-05-10,136.929993,137.940002,136.490005,137.869995,136.382050,787400
2017-05-11,137.300003,137.399994,136.490005,137.339996,135.857758,727500
2017-05-12,136.919998,137.339996,136.369995,136.699997,135.224670,720300
2017-05-15,136.860001,138.479996,136.580002,138.380005,136.886551,662500
2017-05-16,138.380005,139.449997,137.889999,139.020004,137.519638,1096700
2017-05-17,139.020004,139.020004,136.490005,136.559998,135.086197,986100
2017-05-18,136.619995,138.259995,136.220001,137.449997,135.966583,909500
2017-05-19,137.690002,138.990005,137.039993,138.139999,136.649139,751600
2017-05-22,138.429993,139.199997,138.220001,138.779999,137.282242,602000
2017-05-23,138.580002,139.229996,137.660004,138.199997,136.708481,812500
2017-05-24,138.270004,139.720001,137.759995,139.509995,138.414978,759600
2017-05-25,139.910004,140.899994,139.830002,140.690002,139.585724,506200
2017-05-26,140.630005,141.110001,139.789993,140.210007,139.109497,972800
2017-05-30,140.039993,140.919998,139.759995,140.809998,139.704788,635900
2017-05-31,140.830002,142.929993,140.539993,142.809998,141.689087,1437500
2017-06-01,143.210007,145.300003,143.089996,143.699997,142.572098,1798600
2017-06-02,144.059998,144.639999,143.080002,144.160004,143.028488,1174500
2017-06-05,144.190002,144.679993,143.759995,144.399994,143.266602,584000
2017-06-06,144.000000,144.360001,143.399994,143.929993,142.800293,1057600
2017-06-07,144.369995,146.320007,144.100006,146.009995,144.863953,1339000
2017-06-08,146.009995,146.419998,144.899994,145.610001,144.467117,1419000
2017-06-09,145.699997,147.539993,144.789993,146.809998,145.657684,1064500
2017-06-12,146.809998,147.029999,144.350006,145.690002,144.546494,1293100
2017-06-13,145.899994,146.880005,144.809998,146.500000,145.350128,1136900
2017-06-14,146.460007,148.160004,146.210007,147.410004,146.252975,1138200
2017-06-15,146.889999,148.490005,146.259995,148.440002,147.274887,856400
2017-06-16,148.830002,149.169998,147.850006,148.490005,147.324493,1324300
2017-06-19,149.580002,150.399994,148.820007,149.399994,148.227341,1167000
2017-06-20,149.369995,149.380005,146.860001,147.220001,146.064468,1331800
2017-06-21,147.220001,147.690002,144.800003,145.220001,144.080170,1627500
2017-06-22,145.229996,145.699997,144.679993,145.380005,144.238922,1327500
2017-06-23,145.779999,147.119995,145.160004,146.699997,145.548553,1515300
2017-06-26,147.169998,148.100006,146.169998,146.270004,145.121948,836800
2017-06-27,146.710007,147.550003,145.559998,146.089996,144.943329,838000
2017-06-28,146.899994,149.050003,146.580002,148.899994,147.731277,1081500
2017-06-29,149.110001,149.880005,145.869995,146.039993,144.893723,1404200
2017-06-30,146.380005,146.839996,145.710007,145.990005,144.844131,1934000
2017-07-03,146.419998,147.639999,145.720001,145.720001,144.576248,599800
2017-07-05,146.070007,148.419998,146.070007,147.529999,146.372040,1240100
2017-07-06,147.270004,147.869995,145.750000,146.350006,145.201309,1015300
2017-07-07,146.509995,149.800003,145.970001,148.789993,147.622131,1338400
2017-07-10,148.550003,149.270004,148.039993,148.800003,147.632080,1237000
2017-07-11,148.309998,148.550003,146.960007,147.899994,146.739136,800100
2017-07-12,148.479996,149.880005,148.020004,149.440002,148.267044,970900
2017-07-13,149.350006,150.009995,148.289993,149.649994,148.475388,1415100
2017-07-14,149.220001,149.990005,148.589996,149.470001,148.296814,1349800
2017-07-17,149.259995,149.960007,148.570007,149.509995,148.336487,1117100
2017-07-18,148.789993,150.160004,148.190002,149.869995,148.693649,584000
2017-07-19,150.009995,150.350006,149.380005,150.190002,149.011169,892000
2017-07-20,150.330002,151.630005,150.210007,151.119995,149.933868,1046300
2017-07-21,150.899994,154.660004,150.899994,153.850006,152.642441,2490000
2017-07-24,153.770004,155.169998,153.720001,154.789993,153.575043,1080000
2017-07-25,155.949997,157.429993,154.630005,155.149994,153.932236,820100
2017-07-26,155.300003,156.179993,154.399994,154.580002,153.366699,1093700
2017-07-27,158.350006,158.350006,151.860001,153.449997,152.245560,1476400
2017-07-28,153.470001,154.089996,152.289993,153.470001,152.265411,1017200
2017-07-31,154.520004,154.839996,153.479996,153.589996,152.384460,1442400
2017-08-01,154.000000,155.839996,154.000000,154.630005,153.416306,1974100
2017-08-02,154.380005,154.699997,151.119995,152.020004,150.826797,1936800
2017-08-03,151.679993,152.460007,151.529999,151.919998,150.727585,1374400
2017-08-04,152.360001,152.729996,150.940002,151.029999,149.844574,1107600
2017-08-07,151.559998,151.940002,150.740005,150.949997,149.765198,777000
2017-08-08,150.899994,151.149994,148.070007,148.279999,147.116150,1996600
2017-08-09,147.710007,150.889999,147.070007,150.770004,149.586609,1472300
2017-08-10,150.279999,150.910004,148.309998,148.339996,147.175690,907300
2017-08-11,149.050003,150.000000,148.279999,148.410004,147.245117,951300
2017-08-14,149.190002,151.070007,149.190002,150.539993,149.358414,954600
2017-08-15,151.270004,152.380005,150.570007,151.500000,150.310883,841800
2017-08-16,152.119995,153.020004,151.160004,152.270004,151.074844,1012500
2017-08-17,151.529999,152.869995,149.940002,149.970001,148.792892,956300
2017-08-18,150.139999,150.820007,149.190002,150.100006,148.921875,1615700
2017-08-21,150.149994,150.539993,149.039993,149.990005,148.812729,769700
2017-08-22,150.619995,153.110001,150.279999,152.839996,151.640366,668600
2017-08-23,151.669998,152.440002,151.289993,151.289993,150.102524,669900
2017-08-24,151.149994,151.720001,150.429993,151.449997,150.669586,534900
2017-08-25,151.990005,152.630005,151.000000,151.270004,150.490524,580100
2017-08-28,151.520004,152.050003,151.229996,151.990005,151.206802,568300
2017-08-29,150.770004,151.470001,149.970001,150.919998,150.142334,952200
2017-08-30,150.580002,153.990005,150.539993,153.539993,152.748825,1195400
2017-08-31,154.000000,154.570007,153.460007,154.330002,153.534744,1373100
