Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,54.669998,55.730000,54.509998,55.490002,54.157848,5591900
2017-04-21,55.450001,56.200001,54.549999,54.849998,53.533215,5868600
2017-04-24,56.419998,57.130001,56.279999,56.799999,55.436394,5770800
2017-04-25,57.310001,57.639999,56.950001,57.189999,55.817032,6553100
2017-04-26,57.070000,58.200001,56.970001,57.680000,56.295273,5421500
2017-04-27,57.680000,57.919998,56.720001,57.169998,55.797516,5666900
2017-04-28,57.119999,57.480000,56.779999,56.810001,55.446159,4381600
2017-05-01,57.299999,58.029999,56.900002,57.750000,56.363590,5212200
2017-05-02,57.750000,57.820000,56.930000,57.150002,55.777996,3062900
2017-05-03,56.790001,58.000000,56.750000,57.970001,56.578308,3096700
2017-05-04,58.540001,58.750000,57.680000,57.930000,56.539272,3656400
2017-05-05,58.110001,58.119999,57.580002,57.840000,56.451431,2602700
2017-05-08,57.980000,58.380001,57.810001,58.160000,56.763748,2214900
2017-05-09,58.250000,58.450001,57.439999,57.619999,56.236710,3426800
2017-05-10,57.480000,57.830002,57.380001,57.599998,56.217190,2896300
2017-05-11,57.380001,57.540001,56.689999,56.950001,55.582794,3091100
2017-05-12,56.459999,56.650002,55.750000,56.330002,54.977684,2822000
2017-05-15,56.570000,56.930000,56.430000,56.720001,55.358322,2351100
2017-05-16,56.959999,57.090000,56.340000,57.040001,55.670635,2371900
2017-05-17,57.040001,57.040001,53.279999,53.590000,52.303463,6114900
2017-05-18,53.610001,54.410000,53.540001,54.070000,52.771938,4851000
2017-05-19,54.240002,54.740002,53.930000,54.049999,52.752415,3485300
2017-05-22,54.299999,54.480000,53.790001,54.240002,52.937859,2928800
2017-05-23,54.250000,55.099998,53.810001,54.790001,53.474651,2631000
2017-05-24,54.919998,54.919998,54.340000,54.549999,53.240414,2763600
2017-05-25,54.660000,54.990002,54.250000,54.540001,53.230656,2250800
2017-05-26,54.270000,54.570000,54.139999,54.320000,53.269878,3094600
2017-05-30,54.060001,54.150002,53.430000,54.029999,52.985481,2926700
2017-05-31,54.150002,54.180000,52.689999,53.369999,52.338245,5094300
2017-06-01,53.650002,54.160000,52.830002,54.150002,53.103168,3632000
2017-06-02,53.509998,53.970001,53.320000,53.490002,52.455929,4002200
2017-06-05,53.700001,54.240002,53.520000,53.770000,52.730511,2807600
2017-06-06,53.230000,53.689999,52.860001,53.400002,52.367668,3068000
