Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,54.209999,54.880001,54.110001,54.639999,52.468338,5843200
2017-04-21,54.540001,55.130001,54.540001,54.779999,52.602772,5948300
2017-04-24,55.160000,55.290001,54.419998,54.820000,52.641182,5717900
2017-04-25,54.900002,55.160000,54.799999,55.150002,52.958065,4096700
2017-04-26,55.369999,56.290001,55.209999,55.980000,53.755077,6273500
2017-04-27,55.980000,56.169998,55.680000,56.090000,53.860706,3881200
2017-04-28,56.080002,56.080002,55.360001,55.849998,53.630245,8424300
2017-05-01,55.810001,56.000000,55.520000,55.770000,53.553421,5164200
2017-05-02,55.740002,56.340000,55.630001,56.160000,53.927921,4017100
2017-05-03,56.139999,57.540001,55.919998,57.340000,55.061024,7542800
2017-05-04,57.500000,57.680000,56.650002,57.290001,55.013012,5508800
2017-05-05,57.330002,57.580002,56.830002,57.320000,55.041817,4845500
2017-05-08,57.509998,57.549999,57.029999,57.299999,55.022614,4553800
2017-05-09,57.410000,58.650002,57.349998,58.080002,55.771614,8020700
2017-05-10,57.880001,58.490002,57.689999,58.410000,56.088497,6954300
2017-05-11,57.750000,57.869999,55.939999,56.060001,53.831902,13327000
2017-05-12,55.900002,56.009998,55.000000,55.799999,53.582226,8957000
2017-05-15,55.320000,56.139999,55.209999,55.349998,53.727833,8392900
2017-05-16,55.509998,55.560001,54.200001,54.529999,52.931866,11944900
2017-05-17,56.959999,56.970001,55.040001,55.040001,53.426918,23241100
2017-05-18,55.250000,56.110001,55.160000,55.830002,54.193768,11919700
2017-05-19,56.130001,56.439999,55.700001,55.990002,54.349079,9949500
2017-05-22,56.070000,56.070000,55.380001,55.459999,53.834610,9528900
2017-05-23,55.400002,55.430000,54.439999,54.490002,52.893040,7136800
2017-05-24,54.509998,54.540001,53.759998,54.130001,52.543594,6780700
2017-05-25,54.340000,54.560001,54.009998,54.200001,52.611538,7360400
2017-05-26,54.349998,54.549999,53.930000,54.400002,52.805676,3738300
2017-05-30,54.509998,55.110001,54.360001,54.939999,53.329845,5763600
2017-05-31,55.250000,55.299999,54.250000,55.150002,53.533695,8401700
2017-06-01,55.250000,55.889999,55.070000,55.660000,54.028751,5165300
2017-06-02,55.560001,55.790001,55.220001,55.520000,53.892857,4485200
2017-06-05,55.570000,55.680000,54.930000,55.630001,53.999634,4236800
2017-06-06,55.259998,55.270000,54.320000,54.580002,52.980404,6395100
2017-06-07,54.700001,54.830002,54.270000,54.470001,52.873627,5728200
2017-06-08,54.470001,55.180000,54.470001,54.630001,53.028934,5751500
2017-06-09,54.959999,57.070000,54.730000,56.900002,55.232410,7889200
2017-06-12,57.099998,58.330002,57.099998,57.869999,56.173981,11661500
2017-06-13,57.700001,57.840000,56.750000,57.380001,55.698341,5947600
2017-06-14,57.500000,57.959999,56.820000,57.860001,56.164276,4337100
2017-06-15,56.980000,57.750000,55.330002,55.459999,53.834610,10528000
2017-06-16,51.430000,52.610001,48.560001,52.610001,51.068134,49491700
2017-06-19,52.869999,52.910000,50.639999,51.709999,50.194515,14747200
2017-06-20,51.810001,51.869999,50.910000,50.910000,49.417961,8795400
2017-06-21,50.959999,51.790001,50.439999,50.520000,49.039391,9996500
2017-06-22,50.610001,50.959999,50.049999,50.630001,49.146168,6746000
2017-06-23,50.599998,50.919998,50.380001,50.759998,49.272354,6256700
2017-06-26,50.830002,51.660000,50.770000,51.480000,49.971256,5805000
2017-06-27,51.410000,52.340000,51.360001,52.070000,50.543961,6671600
2017-06-28,52.130001,52.689999,51.900002,52.060001,50.534256,6148000
2017-06-29,52.250000,52.630001,51.740002,52.090000,50.563377,4663000
2017-06-30,52.250000,52.430000,51.910000,52.290001,50.757515,4008400
2017-07-03,52.529999,52.880001,52.330002,52.650002,51.106964,2790900
2017-07-05,52.849998,53.180000,51.919998,52.160000,50.631325,3960700
2017-07-06,52.000000,52.080002,51.369999,51.439999,49.932423,3712700
2017-07-07,51.480000,51.730000,50.689999,51.070000,49.573269,4882400
2017-07-10,51.150002,51.169998,50.040001,50.180000,48.709358,6520000
2017-07-11,50.230000,50.779999,50.189999,50.410000,48.932613,4594300
2017-07-12,50.480000,51.160000,50.459999,50.869999,49.379131,4482100
2017-07-13,52.250000,53.709999,52.000000,53.310001,51.747623,23218000
2017-07-14,53.480000,53.540001,53.060001,53.230000,51.669968,5829200
2017-07-17,53.230000,54.169998,53.220001,53.730000,52.155312,12488000
2017-07-18,53.580002,53.970001,53.259998,53.730000,52.155312,4526300
2017-07-19,53.799999,54.209999,53.520000,54.099998,52.514469,3954200
2017-07-20,54.160000,54.930000,53.980000,54.580002,52.980404,6665900
2017-07-21,54.560001,55.009998,54.180000,54.840000,53.232780,6355400
2017-07-24,54.650002,54.860001,54.020000,54.049999,52.465935,5627100
2017-07-25,54.209999,55.560001,54.189999,55.099998,53.485161,4506500
2017-07-26,55.060001,55.160000,54.270000,54.959999,53.349266,3403400
2017-07-27,54.959999,56.060001,54.529999,56.049999,54.407318,4489100
2017-07-28,56.000000,56.360001,55.639999,56.110001,54.465561,5372000
2017-07-31,56.340000,56.750000,55.900002,56.669998,55.009148,5662800
2017-08-01,56.580002,56.880001,56.139999,56.860001,55.193581,4029000
2017-08-02,56.779999,57.119999,56.419998,56.799999,55.135338,3677100
2017-08-03,56.959999,57.380001,56.380001,57.040001,55.368305,5321700
2017-08-04,57.180000,57.650002,57.160000,57.580002,55.892479,4462800
2017-08-07,57.570000,57.970001,57.500000,57.880001,56.183689,3903900
2017-08-08,58.000000,59.209999,58.000000,58.740002,57.018486,8129300
2017-08-09,58.570000,58.580002,57.380001,57.869999,56.173981,6389400
2017-08-10,57.320000,57.320000,55.470001,55.639999,54.009338,10853100
2017-08-11,55.340000,55.919998,55.110001,55.650002,54.019047,6022800
2017-08-14,55.400002,56.049999,55.400002,55.790001,54.765083,5731800
2017-08-15,55.730000,55.779999,54.250000,54.349998,53.351536,9457300
2017-08-16,57.000000,57.000000,54.470001,56.310001,55.275532,22059400
2017-08-17,56.529999,57.060001,55.410000,56.119999,55.089016,15275200
