Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,69.809998,70.089996,69.510002,69.800003,69.800003,4103700
2017-04-21,69.699997,69.889999,68.879997,69.559998,69.559998,3274100
2017-04-24,70.500000,71.029999,70.150002,71.000000,71.000000,4638900
2017-04-25,71.400002,72.070000,70.760002,70.970001,70.970001,3519800
2017-04-26,71.089996,71.919998,70.660004,71.330002,71.330002,4739700
2017-04-27,69.769997,70.760002,68.620003,70.699997,70.699997,5512200
2017-04-28,70.870003,71.260002,70.000000,70.209999,70.209999,2907600
2017-05-01,70.559998,71.480003,70.239998,70.269997,70.269997,3317400
2017-05-02,70.430000,73.989998,70.400002,73.940002,73.940002,5434700
2017-05-03,73.300003,74.449997,73.099998,74.209999,74.209999,2690300
2017-05-04,74.559998,75.169998,73.919998,74.910004,74.910004,2886300
2017-05-05,74.970001,75.360001,74.650002,75.300003,75.300003,2166200
2017-05-08,75.339996,75.849998,74.769997,74.980003,74.980003,3082000
2017-05-09,75.639999,79.150002,75.639999,78.550003,78.550003,5841200
2017-05-10,78.480003,78.959999,78.019997,78.550003,78.550003,3308400
2017-05-11,78.180000,78.190002,76.529999,77.360001,77.360001,2780900
2017-05-12,76.750000,77.449997,76.209999,76.410004,76.410004,2051300
2017-05-15,76.199997,78.339996,76.190002,77.790001,77.790001,3461700
2017-05-16,78.220001,79.099998,77.440002,79.059998,79.059998,3320400
2017-05-17,79.059998,79.059998,75.940002,76.180000,76.180000,5673000
2017-05-18,76.320000,77.180000,75.620003,75.980003,75.980003,3559600
2017-05-19,76.419998,78.339996,76.180000,77.980003,77.980003,4143600
2017-05-22,78.440002,79.199997,78.370003,78.919998,78.919998,2469100
2017-05-23,79.110001,79.260002,78.419998,79.029999,79.029999,1821900
2017-05-24,79.139999,79.730003,78.580002,78.940002,78.940002,1942000
2017-05-25,79.180000,81.540001,79.029999,81.410004,81.410004,3647700
2017-05-26,81.169998,81.959999,80.739998,81.250000,81.250000,2537300
2017-05-30,80.900002,80.949997,79.010002,79.250000,79.250000,3428700
2017-05-31,79.730003,79.959999,78.559998,79.669998,79.669998,2523200
2017-06-01,79.989998,80.989998,79.459999,80.980003,80.980003,2458600
2017-06-02,81.489998,83.040001,81.459999,82.029999,82.029999,3206500
2017-06-05,82.040001,82.339996,81.209999,81.669998,81.669998,1840500
2017-06-06,81.070000,81.809998,80.650002,81.239998,81.239998,2171000
2017-06-07,79.669998,81.860001,78.349998,81.660004,81.660004,6263100
2017-06-08,81.660004,81.870003,80.199997,80.519997,80.519997,3977000
2017-06-09,80.959999,81.500000,78.150002,78.830002,78.830002,5285700
2017-06-12,79.019997,79.080002,76.230003,77.730003,77.730003,5146500
2017-06-13,77.830002,78.599998,76.330002,77.480003,77.480003,4073100
2017-06-14,77.870003,77.919998,76.349998,77.559998,77.559998,2479600
2017-06-15,77.169998,77.379997,76.110001,77.339996,77.339996,3560800
2017-06-16,77.510002,77.720001,76.489998,76.779999,76.779999,3165000
2017-06-19,77.129997,78.760002,76.790001,78.629997,78.629997,3336800
2017-06-20,79.040001,79.339996,77.250000,77.279999,77.279999,2389100
2017-06-21,77.620003,78.080002,76.970001,77.589996,77.589996,2134400
2017-06-22,78.370003,78.910004,77.080002,77.449997,77.449997,3160100
2017-06-23,77.480003,77.529999,76.550003,76.790001,76.790001,4623400
2017-06-26,76.870003,78.400002,76.550003,77.029999,77.029999,2545100
2017-06-27,77.080002,77.449997,75.940002,76.000000,76.000000,2767500
2017-06-28,76.510002,77.370003,76.300003,76.699997,76.699997,2628800
2017-06-29,76.820000,77.480003,74.970001,75.440002,75.440002,3524900
2017-06-30,76.190002,76.190002,75.220001,75.250000,75.250000,3456500
2017-07-03,75.849998,76.650002,75.059998,75.080002,75.080002,2390800
2017-07-05,75.349998,76.860001,74.430000,76.540001,76.540001,4519500
2017-07-06,76.000000,78.529999,75.699997,77.709999,77.709999,4312700
2017-07-07,77.980003,79.290001,77.529999,78.940002,78.940002,4200500
2017-07-10,78.489998,79.120003,77.769997,78.260002,78.260002,4082400
2017-07-11,78.089996,78.190002,76.910004,76.919998,76.919998,3516300
2017-07-12,78.699997,80.809998,78.610001,80.529999,80.529999,5053900
2017-07-13,80.500000,81.389999,79.669998,80.169998,80.169998,3477700
2017-07-14,80.000000,80.169998,79.050003,79.849998,79.849998,2127900
2017-07-17,79.660004,80.120003,79.180000,79.779999,79.779999,2355400
2017-07-18,79.300003,79.680000,78.290001,78.900002,78.900002,4118000
2017-07-19,76.230003,76.699997,73.699997,74.239998,74.239998,15491000
2017-07-20,74.099998,74.250000,72.029999,72.080002,72.080002,8095700
2017-07-21,72.190002,72.430000,71.339996,71.570000,71.570000,5996000
2017-07-24,71.230003,71.879997,70.339996,70.430000,70.430000,4314400
2017-07-25,71.139999,71.279999,69.349998,69.480003,69.480003,4696300
2017-07-26,69.500000,70.360001,69.000000,70.239998,70.239998,4442000
2017-07-27,69.019997,69.019997,66.449997,68.089996,68.089996,7925700
2017-07-28,67.879997,68.269997,67.129997,67.879997,67.879997,4989600
2017-07-31,68.480003,68.650002,67.570000,67.680000,67.680000,2509000
2017-08-01,68.150002,68.550003,67.550003,67.860001,67.860001,2767800
2017-08-02,68.010002,68.269997,66.930000,67.440002,67.440002,3191600
2017-08-03,67.440002,68.489998,67.309998,68.190002,68.190002,3752000
2017-08-04,68.370003,69.309998,68.180000,68.910004,68.910004,3278000
2017-08-07,69.089996,69.290001,68.360001,68.389999,68.389999,3095700
2017-08-08,68.150002,68.720001,67.529999,67.790001,67.790001,2640700
2017-08-09,67.379997,67.970001,66.800003,67.059998,67.059998,3533500
2017-08-10,66.820000,66.959999,65.110001,65.239998,65.239998,4966400
