Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,44.450001,44.759998,44.250000,44.330002,43.206825,2148700
2017-04-21,44.310001,44.439999,43.029999,43.099998,42.007984,2824800
2017-04-24,43.570000,43.980000,42.680000,42.750000,41.666859,3963800
2017-04-25,42.820000,43.230000,42.740002,42.950001,41.861790,3323100
2017-04-26,43.049999,43.500000,43.040001,43.380001,42.280899,4467200
2017-04-27,43.099998,43.669998,43.099998,43.310001,42.212669,3815200
2017-04-28,43.360001,43.360001,42.430000,42.560001,41.481670,6424800
2017-05-01,42.630001,43.029999,42.299999,42.599998,41.520653,3122800
2017-05-02,42.820000,43.070000,42.060001,42.459999,41.384205,3957000
2017-05-03,44.119999,44.119999,39.130001,39.259998,38.265282,12070900
2017-05-04,37.000000,38.290001,35.200001,36.459999,35.536224,23110100
2017-05-05,37.099998,37.220001,36.110001,36.820000,35.887104,8939400
2017-05-08,36.790001,36.910000,35.939999,36.410000,35.487492,6174400
2017-05-09,36.299999,36.450001,35.900002,36.230000,35.312054,4631300
2017-05-10,35.689999,35.700001,34.500000,34.950001,34.064484,10787900
2017-05-11,34.849998,35.119999,34.430000,34.520000,33.645382,5708300
2017-05-12,34.500000,34.700001,34.240002,34.610001,33.733101,4389400
2017-05-15,34.570000,34.700001,33.599998,33.759998,32.904636,6797000
2017-05-16,34.070000,34.580002,33.669998,33.869999,33.011848,7243900
2017-05-17,33.570000,34.029999,33.500000,33.650002,32.797421,5896700
2017-05-18,33.630001,34.209999,33.439999,33.990002,33.128807,4965900
2017-05-19,33.919998,35.330002,33.880001,35.200001,34.308147,6792300
2017-05-22,35.209999,35.630001,35.009998,35.240002,34.347137,5288700
2017-05-23,35.349998,35.410000,34.250000,34.320000,33.450443,3581000
2017-05-24,34.450001,34.799999,34.279999,34.740002,33.859802,3367400
2017-05-25,34.730000,35.730000,34.049999,34.919998,34.035240,7859600
2017-05-26,34.919998,35.189999,34.400002,35.130001,34.239922,4714500
2017-05-30,35.080002,35.200001,34.599998,35.049999,34.161953,3542900
2017-05-31,35.000000,35.200001,34.200001,34.790001,33.908535,6549900
2017-06-01,34.790001,35.360001,34.470001,35.310001,34.415367,2854800
2017-06-02,35.259998,35.490002,35.080002,35.250000,34.356884,2686500
2017-06-05,35.220001,35.740002,35.060001,35.209999,34.317894,3188600
2017-06-06,35.139999,35.330002,34.919998,35.070000,34.181446,3420900
2017-06-07,35.130001,35.450001,34.790001,34.849998,33.967014,4156300
2017-06-08,34.810001,35.509998,34.570000,35.259998,34.366627,3269800
2017-06-09,35.200001,35.459999,34.840000,35.400002,34.503086,4372000
2017-06-12,35.509998,36.959999,35.509998,36.090000,35.175598,6332100
2017-06-13,35.889999,36.290001,35.450001,35.590000,34.881569,4823500
2017-06-14,35.750000,35.959999,34.730000,34.900002,34.205307,3923800
2017-06-15,34.590000,35.439999,34.320000,34.959999,34.264107,7188800
2017-06-16,34.959999,35.169998,34.549999,35.070000,34.371922,9495300
2017-06-19,35.290001,35.549999,34.880001,35.430000,34.724758,4193400
2017-06-20,35.349998,35.799999,34.080002,34.209999,33.529037,4061500
2017-06-21,34.259998,34.759998,33.799999,34.570000,33.881874,4373500
2017-06-22,34.630001,34.740002,34.090000,34.119999,33.440830,2686500
2017-06-23,34.090000,34.419998,33.750000,34.110001,33.431034,11452800
2017-06-26,34.220001,35.389999,34.110001,35.090000,34.391525,5169700
2017-06-27,35.099998,35.630001,35.000000,35.410000,34.705154,3781300
2017-06-28,35.500000,35.869999,35.040001,35.070000,34.371922,3778500
2017-06-29,35.040001,35.360001,33.830002,34.349998,33.666252,4895400
2017-06-30,34.279999,34.279999,33.299999,33.570000,32.901779,8524800
2017-07-03,33.680000,34.349998,33.669998,34.119999,33.440830,2404400
2017-07-05,34.139999,34.150002,32.770000,33.000000,32.343124,5598400
2017-07-06,32.959999,33.200001,32.680000,33.070000,32.411732,7563900
2017-07-07,33.130001,33.340000,32.810001,33.200001,32.539143,2963400
2017-07-10,33.200001,34.259998,33.119999,34.000000,33.323219,3885400
2017-07-11,34.020000,34.380001,33.730000,34.139999,33.460434,3041100
2017-07-12,34.419998,34.599998,34.160000,34.500000,33.813267,3438700
2017-07-13,34.500000,34.959999,34.290001,34.500000,33.813267,4421400
2017-07-14,34.590000,35.200001,34.509998,34.930000,34.234711,3280600
2017-07-17,34.959999,35.439999,34.799999,35.320000,34.616947,4028200
2017-07-18,35.240002,35.630001,34.720001,35.459999,34.754154,4003600
2017-07-19,36.000000,36.360001,35.820000,36.200001,35.479431,6055900
2017-07-20,36.419998,36.770000,35.860001,35.889999,35.175602,4103500
2017-07-21,35.810001,36.099998,35.560001,36.040001,35.322617,2285700
2017-07-24,36.139999,36.650002,36.000000,36.220001,35.499035,3230200
2017-07-25,36.500000,36.500000,35.000000,35.009998,34.313118,4860800
2017-07-26,34.860001,34.970001,34.150002,34.369999,33.685852,8939800
2017-07-27,35.189999,35.980000,35.000000,35.509998,34.803162,8276600
2017-07-28,35.430000,35.779999,35.139999,35.660000,34.950176,3378000
2017-07-31,35.720001,35.759998,34.259998,34.919998,34.224903,5908400
2017-08-01,35.040001,35.549999,34.939999,35.529999,34.822762,3742000
2017-08-02,35.240002,35.240002,33.799999,34.090000,33.411430,6478100
2017-08-03,34.080002,35.470001,34.060001,35.070000,34.371922,5559700
2017-08-04,32.150002,32.450001,30.209999,30.219999,29.618462,24229700
2017-08-07,30.440001,31.280001,30.270000,30.580000,29.971296,8586600
2017-08-08,30.750000,31.250000,30.680000,30.770000,30.157515,5199000
2017-08-09,30.290001,30.340000,29.650000,30.170000,29.569458,7185200
2017-08-10,30.110001,30.430000,29.860001,30.070000,29.471449,4778100
2017-08-11,29.879999,30.750000,29.879999,30.660000,30.049704,3680000
2017-08-14,30.740000,31.059999,30.170000,30.230000,29.628262,5129500
2017-08-15,30.270000,30.559999,30.020000,30.080000,29.481251,2988300
2017-08-16,30.129999,30.459999,29.700001,29.820000,29.226425,4282900
2017-08-17,29.780001,29.980000,29.180000,29.209999,28.628565,3963400
2017-08-18,29.090000,29.400000,28.480000,28.590000,28.020910,6914900
2017-08-21,28.629999,28.690001,28.000000,28.110001,27.550465,4936300
2017-08-22,28.280001,28.510000,27.860001,28.459999,27.893494,5007000
2017-08-23,28.450001,28.889999,28.309999,28.610001,28.040510,3646200
2017-08-24,28.540001,28.889999,28.410000,28.650000,28.079714,3446300
2017-08-25,28.750000,29.400000,28.610001,29.190001,28.608963,4202600
2017-08-28,29.160000,29.540001,29.040001,29.430000,28.844187,3878800
2017-08-29,29.309999,29.459999,29.010000,29.280001,28.697176,3358500
2017-08-30,29.250000,29.480000,28.980000,29.129999,28.550159,3571900
2017-08-31,29.200001,29.400000,28.570000,28.600000,28.030710,6510300
2017-09-01,28.799999,28.860001,28.500000,28.520000,27.952301,4813400
2017-09-05,28.240000,28.379999,27.219999,27.430000,26.883999,7927100
2017-09-06,27.450001,28.440001,27.440001,28.219999,27.658272,5072500
2017-09-07,28.260000,28.360001,26.959999,27.200001,26.658577,6936600
2017-09-08,27.090000,27.410000,26.650000,27.270000,26.727182,6269400
2017-09-11,27.430000,27.820000,27.129999,27.190001,26.648777,4078800
2017-09-12,27.280001,27.430000,26.860001,27.110001,26.570370,5321300
2017-09-13,27.120001,27.969999,27.080000,27.910000,27.354445,6300600
2017-09-14,27.730000,27.950001,27.290001,27.360001,27.008936,4765500
2017-09-15,27.360001,27.809999,27.250000,27.670000,27.314959,5560600
2017-09-18,27.690001,27.860001,27.299999,27.320000,26.969448,4269600
2017-09-19,27.290001,27.360001,26.940001,27.139999,26.791758,4876500
2017-09-20,27.150000,27.879999,27.100000,27.719999,27.364315,3975800
2017-09-21,27.719999,27.900000,27.330000,27.400000,27.048422,2418600
2017-09-22,27.420000,27.830000,27.400000,27.639999,27.285341,2220600
2017-09-25,27.570000,28.299999,27.540001,27.900000,27.542006,3038000
2017-09-26,27.930000,28.160000,27.549999,27.590000,27.235985,2616100
2017-09-27,27.660000,28.040001,27.510000,27.930000,27.571621,2097000
2017-09-28,27.809999,28.020000,27.639999,27.850000,27.492647,3560900
2017-09-29,27.850000,28.120001,27.770000,27.840000,27.482777,3170100
2017-10-02,27.920000,28.000000,27.080000,27.410000,27.058292,5310300
2017-10-03,27.510000,27.600000,27.290001,27.549999,27.196497,5127600
2017-10-04,27.600000,28.389999,27.549999,28.139999,27.778925,5369600
2017-10-05,28.150000,28.330000,27.280001,27.299999,26.949705,5118800
2017-10-06,27.280001,27.480000,27.040001,27.150000,26.801630,3632200
2017-10-09,26.389999,26.620001,25.370001,25.420000,25.093828,10445100
2017-10-10,25.410000,25.639999,25.340000,25.559999,25.232029,5648500
2017-10-11,25.540001,25.570000,25.129999,25.209999,24.886522,6362200
2017-10-12,24.440001,24.670000,23.450001,24.570000,24.254734,17926600
2017-10-13,24.740000,26.330000,24.580000,26.000000,25.666386,9487800
2017-10-16,26.090000,26.680000,25.809999,26.260000,25.923050,7615400
2017-10-17,26.129999,26.650000,25.920000,26.570000,26.229073,5176500
2017-10-18,26.680000,26.990000,25.740000,25.820000,25.488695,9560600
2017-10-19,25.830000,26.559999,25.799999,26.530001,26.189587,4569600
2017-10-20,26.639999,26.879999,26.360001,26.700001,26.357405,3806500
2017-10-23,26.600000,26.690001,26.090000,26.309999,25.972406,4177000
2017-10-24,26.129999,26.290001,25.610001,25.650000,25.320877,3620100
2017-10-25,25.400000,25.650000,25.200001,25.480000,25.153057,2657700
2017-10-26,25.469999,26.100000,25.299999,25.299999,24.975367,5711000
2017-10-27,25.150000,25.180000,24.080000,24.660000,24.343578,8993000
2017-10-30,24.530001,24.969999,24.150000,24.230000,23.919098,4177500
