Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,116.650002,118.860001,116.650002,116.930000,116.586296,957900
2017-04-21,116.519997,120.160004,116.519997,118.629997,118.281311,1608400
2017-04-24,119.769997,120.470001,118.089996,119.339996,118.989212,916900
2017-04-25,119.349998,121.510002,118.750000,120.849998,120.494774,810400
2017-04-26,119.879997,122.099998,119.320000,119.440002,119.088928,839400
2017-04-27,118.470001,118.529999,115.070000,116.639999,116.297150,1021400
2017-04-28,117.739998,117.739998,115.800003,116.680000,116.337036,663900
2017-05-01,116.849998,117.400002,116.320000,116.330002,115.988060,700000
2017-05-02,116.459999,117.510002,114.720001,115.360001,115.020912,788100
2017-05-03,115.169998,119.120003,114.919998,118.239998,117.892448,1445300
2017-05-04,116.800003,116.800003,114.139999,115.830002,115.489532,1452100
2017-05-05,116.510002,120.529999,116.089996,120.300003,119.946396,1367000
2017-05-08,119.889999,122.339996,119.320000,121.910004,121.551659,987300
2017-05-09,122.209999,122.349998,118.680000,119.010002,118.660187,1438200
2017-05-10,123.660004,123.760002,119.940002,120.070000,119.717064,2205000
2017-05-11,120.650002,121.279999,117.959999,118.279999,118.010956,1144200
2017-05-12,118.279999,118.620003,116.400002,117.290001,117.023209,1144300
2017-05-15,120.000000,120.010002,116.959999,117.190002,116.923431,1425200
2017-05-16,117.540001,118.099998,116.580002,117.160004,116.893509,991900
2017-05-17,117.160004,117.190002,115.250000,116.150002,115.885803,1151200
2017-05-18,115.800003,117.379997,114.919998,115.839996,115.576500,1046700
2017-05-19,116.190002,118.129997,115.809998,117.589996,117.322525,1378300
2017-05-22,118.500000,118.769997,115.879997,115.949997,115.686249,1102200
2017-05-23,115.910004,116.220001,114.730003,114.989998,114.728432,921600
2017-05-24,115.269997,115.269997,113.010002,113.559998,113.301682,1295600
2017-05-25,113.379997,115.440002,110.449997,110.980003,110.727570,989200
2017-05-26,110.910004,111.639999,110.070000,110.949997,110.697624,712700
2017-05-30,109.739998,110.000000,107.379997,107.680000,107.435059,1221400
2017-05-31,106.650002,107.980003,106.040001,107.559998,107.315338,1146300
2017-06-01,107.690002,108.489998,106.720001,107.250000,107.006042,757700
2017-06-02,106.720001,107.239998,104.339996,104.580002,104.342125,885100
2017-06-05,103.489998,104.300003,102.250000,102.709999,102.476372,1456800
2017-06-06,102.389999,103.980003,102.150002,103.940002,103.703575,1775300
2017-06-07,102.790001,103.800003,98.769997,99.830002,99.602928,1998300
2017-06-08,99.830002,100.309998,98.209999,98.610001,98.385689,1503000
2017-06-09,98.739998,100.910004,98.199997,99.889999,99.662781,1785300
2017-06-12,100.720001,102.239998,99.370003,100.180000,99.952126,1398400
2017-06-13,100.129997,101.519997,99.639999,101.139999,100.909943,1229300
2017-06-14,100.360001,100.360001,97.070000,97.510002,97.288200,1942400
2017-06-15,97.230003,97.510002,93.330002,93.879997,93.666458,1504500
2017-06-16,94.500000,94.500000,92.669998,93.820000,93.606598,1955200
2017-06-19,93.900002,94.279999,92.580002,93.449997,93.237434,1211800
2017-06-20,92.300003,94.449997,91.339996,94.010002,93.796165,1847400
2017-06-21,93.050003,94.330002,91.279999,92.320000,92.110001,1985600
2017-06-22,92.290001,93.309998,91.220001,91.330002,91.122261,706600
2017-06-23,91.260002,93.150002,91.260002,93.000000,92.788452,2357300
2017-06-26,93.099998,94.790001,92.110001,93.099998,92.888229,1357500
2017-06-27,93.489998,94.139999,92.510002,92.599998,92.389366,824800
2017-06-28,92.599998,94.180000,92.290001,93.320000,93.107727,873100
2017-06-29,93.589996,95.570000,93.559998,94.250000,94.035622,1119900
2017-06-30,94.750000,95.190002,92.860001,94.010002,93.796165,1214800
2017-07-03,94.589996,97.330002,94.370003,96.839996,96.619713,663800
